format	1
_private.<module>.NumStability.blockMatrixFrom	_private.NumStability.Algorithms.LU.BlockLU.0.NumStability.blockMatrixFrom	_private.NumStability.Source.Higham.Chapter13.Theorem02.Uniqueness.0.NumStability.blockMatrixFrom
_private.<module>.NumStability.blockMatrixOf	_private.NumStability.Algorithms.LU.BlockLU.0.NumStability.blockMatrixOf	_private.NumStability.Source.Higham.Chapter13.Theorem02.Uniqueness.0.NumStability.blockMatrixOf
_private.<module>.NumStability.blockMatrixOf_mul_firstPivotShearE_apply	_private.NumStability.Algorithms.LU.BlockLU.0.NumStability.blockMatrixOf_mul_firstPivotShearE_apply	_private.NumStability.Source.Higham.Chapter13.Theorem02.Uniqueness.0.NumStability.blockMatrixOf_mul_firstPivotShearE_apply
_private.<module>.NumStability.firstPivotRow	_private.NumStability.Algorithms.LU.BlockLU.0.NumStability.firstPivotRow	_private.NumStability.Source.Higham.Chapter13.Theorem02.Uniqueness.0.NumStability.firstPivotRow
_private.<module>.NumStability.firstPivotRow_ne_zero	_private.NumStability.Algorithms.LU.BlockLU.0.NumStability.firstPivotRow_ne_zero	_private.NumStability.Source.Higham.Chapter13.Theorem02.Uniqueness.0.NumStability.firstPivotRow_ne_zero
_private.<module>.NumStability.firstPivotShearE	_private.NumStability.Algorithms.LU.BlockLU.0.NumStability.firstPivotShearE	_private.NumStability.Source.Higham.Chapter13.Theorem02.Uniqueness.0.NumStability.firstPivotShearE
_private.<module>.NumStability.firstPivotShearE_mul_blockMatrixOf_apply	_private.NumStability.Algorithms.LU.BlockLU.0.NumStability.firstPivotShearE_mul_blockMatrixOf_apply	_private.NumStability.Source.Higham.Chapter13.Theorem02.Uniqueness.0.NumStability.firstPivotShearE_mul_blockMatrixOf_apply
_private.<module>.NumStability.firstPivotShearE_sq	_private.NumStability.Algorithms.LU.BlockLU.0.NumStability.firstPivotShearE_sq	_private.NumStability.Source.Higham.Chapter13.Theorem02.Uniqueness.0.NumStability.firstPivotShearE_sq
_private.<module>.NumStability.firstPivotShearL	_private.NumStability.Algorithms.LU.BlockLU.0.NumStability.firstPivotShearL	_private.NumStability.Source.Higham.Chapter13.Theorem02.Uniqueness.0.NumStability.firstPivotShearL
_private.<module>.NumStability.firstPivotShearL_firstPivot_zero_apply	_private.NumStability.Algorithms.LU.BlockLU.0.NumStability.firstPivotShearL_firstPivot_zero_apply	_private.NumStability.Source.Higham.Chapter13.Theorem02.Uniqueness.0.NumStability.firstPivotShearL_firstPivot_zero_apply
_private.<module>.NumStability.firstPivotShearL_ne_of_X_ne_zero	_private.NumStability.Algorithms.LU.BlockLU.0.NumStability.firstPivotShearL_ne_of_X_ne_zero	_private.NumStability.Source.Higham.Chapter13.Theorem02.Uniqueness.0.NumStability.firstPivotShearL_ne_of_X_ne_zero
_private.<module>.NumStability.firstPivotShearU	_private.NumStability.Algorithms.LU.BlockLU.0.NumStability.firstPivotShearU	_private.NumStability.Source.Higham.Chapter13.Theorem02.Uniqueness.0.NumStability.firstPivotShearU
_private.<module>.NumStability.firstPivotShear_mul_inv	_private.NumStability.Algorithms.LU.BlockLU.0.NumStability.firstPivotShear_mul_inv	_private.NumStability.Source.Higham.Chapter13.Theorem02.Uniqueness.0.NumStability.firstPivotShear_mul_inv
_private.<module>.NumStability.firstPivotShear_spec	_private.NumStability.Algorithms.LU.BlockLU.0.NumStability.firstPivotShear_spec	_private.NumStability.Source.Higham.Chapter13.Theorem02.Uniqueness.0.NumStability.firstPivotShear_spec
_private.<module>.NumStability.leadingBlockPrefix13_2_apply_castLE	_private.NumStability.Algorithms.LU.BlockLU.0.NumStability.leadingBlockPrefix13_2_apply_castLE	_private.NumStability.Source.Higham.Chapter13.Theorem02.Factorization.0.NumStability.leadingBlockPrefix13_2_apply_castLE
_private.<module>.NumStability.sum_fin_prefix_eq_of_tail_zero	_private.NumStability.Algorithms.LU.BlockLU.0.NumStability.sum_fin_prefix_eq_of_tail_zero	_private.NumStability.Source.Higham.Chapter13.Theorem02.Factorization.0.NumStability.sum_fin_prefix_eq_of_tail_zero
_private.<module>.NumStability.sum_idBlock_mul_eq_val	_private.NumStability.Algorithms.LU.BlockLU.0.NumStability.sum_idBlock_mul_eq_val	_private.NumStability.Source.Higham.Chapter13.Theorem02.Uniqueness.0.NumStability.sum_idBlock_mul_eq_val
_private.<module>.NumStability.sum_ite_eq_val	_private.NumStability.Algorithms.LU.BlockLU.0.NumStability.sum_ite_eq_val	_private.NumStability.Algorithms.LinearSystems.LU.BlockLU.RecursiveFactorization.0.NumStability.sum_ite_eq_val
_private.<module>.NumStability.sum_ite_eq_val_right	_private.NumStability.Algorithms.LU.BlockLU.0.NumStability.sum_ite_eq_val_right	_private.NumStability.Algorithms.LinearSystems.LU.BlockLU.RecursiveFactorization.0.NumStability.sum_ite_eq_val_right
