format	1
_private.<module>.NumStability.LUFactSpec.castFin	_private.NumStability.Algorithms.LU.BlockLUScalarGrowthBridge.0.NumStability.LUFactSpec.castFin	_private.NumStability.Source.Higham.Chapter13.Problem04.ScalarGrowthBridge.0.NumStability.LUFactSpec.castFin
_private.<module>.NumStability.blockMatrixFlatFin_lower_boundary_unit_row	_private.NumStability.Algorithms.LU.BlockLUScalarGrowthBridge.0.NumStability.blockMatrixFlatFin_lower_boundary_unit_row	_private.NumStability.Source.Higham.Chapter13.Problem04.ScalarGrowthBridge.0.NumStability.blockMatrixFlatFin_lower_boundary_unit_row
_private.<module>.NumStability.blockMatrixFlatFin_lower_leading_trailing_zero	_private.NumStability.Algorithms.LU.BlockLUScalarGrowthBridge.0.NumStability.blockMatrixFlatFin_lower_leading_trailing_zero	_private.NumStability.Source.Higham.Chapter13.Problem04.ScalarGrowthBridge.0.NumStability.blockMatrixFlatFin_lower_leading_trailing_zero
_private.<module>.NumStability.blockMatrixFlatFin_upper_trailing_leading_zero	_private.NumStability.Algorithms.LU.BlockLUScalarGrowthBridge.0.NumStability.blockMatrixFlatFin_upper_trailing_leading_zero	_private.NumStability.Source.Higham.Chapter13.Problem04.ScalarGrowthBridge.0.NumStability.blockMatrixFlatFin_upper_trailing_leading_zero
_private.<module>.NumStability.det_castFin_ne_zero	_private.NumStability.Algorithms.LU.BlockLUScalarGrowthBridge.0.NumStability.det_castFin_ne_zero	_private.NumStability.Source.Higham.Chapter13.Problem04.ScalarGrowthBridge.0.NumStability.det_castFin_ne_zero
_private.<module>.NumStability.factor_product_castFin	_private.NumStability.Algorithms.LU.BlockLUScalarGrowthBridge.0.NumStability.factor_product_castFin	_private.NumStability.Source.Higham.Chapter13.Problem04.ScalarGrowthBridge.0.NumStability.factor_product_castFin
_private.<module>.NumStability.factor_schur_eq_trailing_product	_private.NumStability.Algorithms.LU.BlockLUScalarGrowthBridge.0.NumStability.factor_schur_eq_trailing_product	_private.NumStability.Source.Higham.Chapter13.Problem04.ScalarGrowthBridge.0.NumStability.factor_schur_eq_trailing_product
_private.<module>.NumStability.fin_tail_filter_matrix_sum_eq	_private.NumStability.Algorithms.LU.BlockLUScalarGrowthBridge.0.NumStability.fin_tail_filter_matrix_sum_eq	_private.NumStability.Source.Higham.Chapter13.Problem04.ScalarGrowthBridge.0.NumStability.fin_tail_filter_matrix_sum_eq
_private.<module>.NumStability.higham13_algorithm13_3_schurStageMatrixBlock_eq_factor_tail_sum	_private.NumStability.Algorithms.LU.BlockLUScalarGrowthBridge.0.NumStability.higham13_algorithm13_3_schurStageMatrixBlock_eq_factor_tail_sum	_private.NumStability.Source.Higham.Chapter13.Problem04.ScalarGrowthBridge.0.NumStability.higham13_algorithm13_3_schurStageMatrixBlock_eq_factor_tail_sum
_private.<module>.NumStability.higham13_algorithm13_3_schurStageMatrixBlock_eq_input_sub_prefix	_private.NumStability.Algorithms.LU.BlockLUScalarGrowthBridge.0.NumStability.higham13_algorithm13_3_schurStageMatrixBlock_eq_input_sub_prefix	_private.NumStability.Source.Higham.Chapter13.Problem04.ScalarGrowthBridge.0.NumStability.higham13_algorithm13_3_schurStageMatrixBlock_eq_input_sub_prefix
_private.<module>.NumStability.higham13_matrix_fin_zero_cols_eq_zero	_private.NumStability.Algorithms.LU.BlockLUVarying.0.NumStability.higham13_matrix_fin_zero_cols_eq_zero	_private.NumStability.Algorithms.LinearSystems.LU.BlockLU.VaryingBlocks.Uniqueness.0.NumStability.higham13_matrix_fin_zero_cols_eq_zero
_private.<module>.NumStability.higham13_matrix_fin_zero_rows_eq_zero	_private.NumStability.Algorithms.LU.BlockLUVarying.0.NumStability.higham13_matrix_fin_zero_rows_eq_zero	_private.NumStability.Algorithms.LinearSystems.LU.BlockLU.VaryingBlocks.Uniqueness.0.NumStability.higham13_matrix_fin_zero_rows_eq_zero
_private.<module>.NumStability.higham9_5_rectGEReducedEntry_castFin	_private.NumStability.Algorithms.LU.BlockLUScalarGrowthBridge.0.NumStability.higham9_5_rectGEReducedEntry_castFin	_private.NumStability.Source.Higham.Chapter13.Problem04.ScalarGrowthBridge.0.NumStability.higham9_5_rectGEReducedEntry_castFin
_private.<module>.NumStability.leadFin	_private.NumStability.Algorithms.LU.BlockLUScalarGrowthBridge.0.NumStability.leadFin	_private.NumStability.Source.Higham.Chapter13.Problem04.ScalarGrowthBridge.0.NumStability.leadFin
_private.<module>.NumStability.leadingBlock	_private.NumStability.Algorithms.LU.BlockLUScalarGrowthBridge.0.NumStability.leadingBlock	_private.NumStability.Source.Higham.Chapter13.Problem04.ScalarGrowthBridge.0.NumStability.leadingBlock
_private.<module>.NumStability.leadingBlock_det_ne_zero_of_lu_det_ne_zero	_private.NumStability.Algorithms.LU.BlockLUScalarGrowthBridge.0.NumStability.leadingBlock_det_ne_zero_of_lu_det_ne_zero	_private.NumStability.Source.Higham.Chapter13.Problem04.ScalarGrowthBridge.0.NumStability.leadingBlock_det_ne_zero_of_lu_det_ne_zero
