format	1
NumStability.BlockLUFactSpec.blockMatrixFlatFin_product_eq	NumStability.Algorithms.LU.BlockLUScalarGrowthBridge	NumStability.Source.Higham.Chapter13.Problem04.ScalarGrowthBridge	theorem	public
NumStability.Higham13BlockSolveFamilySpec	NumStability.Algorithms.LU.BlockLUFirstOrderFamilies	NumStability.Algorithms.LinearSystems.LU.BlockLU.FirstOrderFamilies	inductive	public
NumStability.Higham13BlockSolveFamilySpec.casesOn	NumStability.Algorithms.LU.BlockLUFirstOrderFamilies	NumStability.Algorithms.LinearSystems.LU.BlockLU.FirstOrderFamilies	definition	public
NumStability.Higham13BlockSolveFamilySpec.diagonal_norm_isBigO_one	NumStability.Algorithms.LU.BlockLUFirstOrderFamilies	NumStability.Algorithms.LinearSystems.LU.BlockLU.FirstOrderFamilies	theorem	public
NumStability.Higham13BlockSolveFamilySpec.equation	NumStability.Algorithms.LU.BlockLUFirstOrderFamilies	NumStability.Algorithms.LinearSystems.LU.BlockLU.FirstOrderFamilies	theorem	public
NumStability.Higham13BlockSolveFamilySpec.mk	NumStability.Algorithms.LU.BlockLUFirstOrderFamilies	NumStability.Algorithms.LinearSystems.LU.BlockLU.FirstOrderFamilies	constructor	public
NumStability.Higham13BlockSolveFamilySpec.multiplier_norm_isBigO_one	NumStability.Algorithms.LU.BlockLUFirstOrderFamilies	NumStability.Algorithms.LinearSystems.LU.BlockLU.FirstOrderFamilies	theorem	public
NumStability.Higham13BlockSolveFamilySpec.norm_bound	NumStability.Algorithms.LU.BlockLUFirstOrderFamilies	NumStability.Algorithms.LinearSystems.LU.BlockLU.FirstOrderFamilies	theorem	public
NumStability.Higham13BlockSolveFamilySpec.rec	NumStability.Algorithms.LU.BlockLUFirstOrderFamilies	NumStability.Algorithms.LinearSystems.LU.BlockLU.FirstOrderFamilies	recursor	public
NumStability.Higham13BlockSolveFamilySpec.recOn	NumStability.Algorithms.LU.BlockLUFirstOrderFamilies	NumStability.Algorithms.LinearSystems.LU.BlockLU.FirstOrderFamilies	definition	public
NumStability.Higham13CLMBlockNonsingular	NumStability.Algorithms.LU.BlockLUArbitraryNormSourceClosure	NumStability.Algorithms.LinearSystems.LU.BlockLU.ArbitraryNorm	definition	public
NumStability.Higham13DiagonalBlockSolveFamilySpec	NumStability.Algorithms.LU.BlockLUFirstOrderFamilies	NumStability.Algorithms.LinearSystems.LU.BlockLU.FirstOrderFamilies	inductive	public
NumStability.Higham13DiagonalBlockSolveFamilySpec.casesOn	NumStability.Algorithms.LU.BlockLUFirstOrderFamilies	NumStability.Algorithms.LinearSystems.LU.BlockLU.FirstOrderFamilies	definition	public
NumStability.Higham13DiagonalBlockSolveFamilySpec.diagonal_norm_isBigO_one	NumStability.Algorithms.LU.BlockLUFirstOrderFamilies	NumStability.Algorithms.LinearSystems.LU.BlockLU.FirstOrderFamilies	theorem	public
NumStability.Higham13DiagonalBlockSolveFamilySpec.equation	NumStability.Algorithms.LU.BlockLUFirstOrderFamilies	NumStability.Algorithms.LinearSystems.LU.BlockLU.FirstOrderFamilies	theorem	public
NumStability.Higham13DiagonalBlockSolveFamilySpec.mk	NumStability.Algorithms.LU.BlockLUFirstOrderFamilies	NumStability.Algorithms.LinearSystems.LU.BlockLU.FirstOrderFamilies	constructor	public
NumStability.Higham13DiagonalBlockSolveFamilySpec.norm_bound	NumStability.Algorithms.LU.BlockLUFirstOrderFamilies	NumStability.Algorithms.LinearSystems.LU.BlockLU.FirstOrderFamilies	theorem	public
NumStability.Higham13DiagonalBlockSolveFamilySpec.rec	NumStability.Algorithms.LU.BlockLUFirstOrderFamilies	NumStability.Algorithms.LinearSystems.LU.BlockLU.FirstOrderFamilies	recursor	public
NumStability.Higham13DiagonalBlockSolveFamilySpec.recOn	NumStability.Algorithms.LU.BlockLUFirstOrderFamilies	NumStability.Algorithms.LinearSystems.LU.BlockLU.FirstOrderFamilies	definition	public
NumStability.Higham13LocalLUFamilySpec	NumStability.Algorithms.LU.BlockLUFirstOrderFamilies	NumStability.Algorithms.LinearSystems.LU.BlockLU.FirstOrderFamilies	inductive	public
