format	1
_private.NumStability.Algorithms.HighamChapter9Theorem914Actual.0.NumStability.higham9_14_abs_add_eq_add_abs_of_mul_nonneg	_private.NumStability.Algorithms.HighamChapter9Theorem914Actual.0.NumStability.higham9_14_abs_add_eq_add_abs_of_mul_nonneg	_private.NumStability.Source.Higham.Chapter09.Theorem914Actual.0.NumStability.higham9_14_abs_add_eq_add_abs_of_mul_nonneg
_private.NumStability.Algorithms.HighamChapter9Theorem914Actual.0.NumStability.higham9_14_actualFactor_abs_diag_le_sum	_private.NumStability.Algorithms.HighamChapter9Theorem914Actual.0.NumStability.higham9_14_actualFactor_abs_diag_le_sum	_private.NumStability.Source.Higham.Chapter09.Theorem914Actual.0.NumStability.higham9_14_actualFactor_abs_diag_le_sum
_private.NumStability.Algorithms.HighamChapter9Theorem914Actual.0.NumStability.higham9_14_actualFactor_abs_sub_le_sum	_private.NumStability.Algorithms.HighamChapter9Theorem914Actual.0.NumStability.higham9_14_actualFactor_abs_sub_le_sum	_private.NumStability.Source.Higham.Chapter09.Theorem914Actual.0.NumStability.higham9_14_actualFactor_abs_sub_le_sum
_private.NumStability.Algorithms.HighamChapter9Theorem914Actual.0.NumStability.higham9_14_exact_LU_diag_rel	_private.NumStability.Algorithms.HighamChapter9Theorem914Actual.0.NumStability.higham9_14_exact_LU_diag_rel	_private.NumStability.Source.Higham.Chapter09.Theorem914Actual.0.NumStability.higham9_14_exact_LU_diag_rel
_private.NumStability.Algorithms.HighamChapter9Theorem914Actual.0.NumStability.higham9_14_exact_LU_sub_eq	_private.NumStability.Algorithms.HighamChapter9Theorem914Actual.0.NumStability.higham9_14_exact_LU_sub_eq	_private.NumStability.Source.Higham.Chapter09.Theorem914Actual.0.NumStability.higham9_14_exact_LU_sub_eq
_private.NumStability.Algorithms.HighamChapter9Theorem914Actual.0.NumStability.higham9_14_exact_LU_super_eq	_private.NumStability.Algorithms.HighamChapter9Theorem914Actual.0.NumStability.higham9_14_exact_LU_super_eq	_private.NumStability.Source.Higham.Chapter09.Theorem914Actual.0.NumStability.higham9_14_exact_LU_super_eq
_private.NumStability.Algorithms.HighamChapter9Theorem914Actual.0.NumStability.higham9_21_lower_row_sum	_private.NumStability.Algorithms.HighamChapter9Theorem914Actual.0.NumStability.higham9_21_lower_row_sum	_private.NumStability.Source.Higham.Chapter09.Theorem914Actual.0.NumStability.higham9_21_lower_row_sum
_private.NumStability.Algorithms.HighamChapter9Theorem914Actual.0.NumStability.higham9_21_lower_step_corrected	_private.NumStability.Algorithms.HighamChapter9Theorem914Actual.0.NumStability.higham9_21_lower_step_corrected	_private.NumStability.Source.Higham.Chapter09.Theorem914Actual.0.NumStability.higham9_21_lower_step_corrected
_private.NumStability.Algorithms.HighamChapter9Theorem914Actual.0.NumStability.higham9_21_upper_last_step_corrected	_private.NumStability.Algorithms.HighamChapter9Theorem914Actual.0.NumStability.higham9_21_upper_last_step_corrected	_private.NumStability.Source.Higham.Chapter09.Theorem914Actual.0.NumStability.higham9_21_upper_last_step_corrected
_private.NumStability.Algorithms.HighamChapter9Theorem914Actual.0.NumStability.higham9_21_upper_row_sum	_private.NumStability.Algorithms.HighamChapter9Theorem914Actual.0.NumStability.higham9_21_upper_row_sum	_private.NumStability.Source.Higham.Chapter09.Theorem914Actual.0.NumStability.higham9_21_upper_row_sum
_private.NumStability.Algorithms.HighamChapter9Theorem914Actual.0.NumStability.higham9_21_upper_step_corrected	_private.NumStability.Algorithms.HighamChapter9Theorem914Actual.0.NumStability.higham9_21_upper_step_corrected	_private.NumStability.Source.Higham.Chapter09.Theorem914Actual.0.NumStability.higham9_21_upper_step_corrected
_private.NumStability.Algorithms.HighamChapter9Theorem99ComplexClosure.0.NumStability.Higham9Theorem99ComplexDirect.rowDiagDominant_zero_diag_row_zero	_private.NumStability.Algorithms.HighamChapter9Theorem99ComplexClosure.0.NumStability.Higham9Theorem99ComplexDirect.rowDiagDominant_zero_diag_row_zero	_private.NumStability.Source.Higham.Chapter09.Theorem99ComplexClosure.0.NumStability.Higham9Theorem99ComplexDirect.rowDiagDominant_zero_diag_row_zero
