format	1
_private.NumStability.Algorithms.HighamChapter9.0.NumStability.higham9_11_sum_half_add_half	_private.NumStability.Algorithms.HighamChapter9.0.NumStability.higham9_11_sum_half_add_half	_private.NumStability.Source.Higham.Chapter09.Section04.0.NumStability.higham9_11_sum_half_add_half
_private.NumStability.Algorithms.HighamChapter9.0.NumStability.higham9_11_sum_half_add_neg_half	_private.NumStability.Algorithms.HighamChapter9.0.NumStability.higham9_11_sum_half_add_neg_half	_private.NumStability.Source.Higham.Chapter09.Section04.0.NumStability.higham9_11_sum_half_add_neg_half
_private.NumStability.Algorithms.HighamChapter9.0.NumStability.higham9_12_inv_sub_one_re_of_normSq_eq_one	_private.NumStability.Algorithms.HighamChapter9.0.NumStability.higham9_12_inv_sub_one_re_of_normSq_eq_one	_private.NumStability.Source.Higham.Chapter09.Section04.0.NumStability.higham9_12_inv_sub_one_re_of_normSq_eq_one
_private.NumStability.Algorithms.HighamChapter9.0.NumStability.higham9_2_fin_foldl_congr	_private.NumStability.Algorithms.HighamChapter9.0.NumStability.higham9_2_fin_foldl_congr	_private.NumStability.Source.Higham.Chapter09.Section02.0.NumStability.higham9_2_fin_foldl_congr
_private.NumStability.Algorithms.HighamChapter9.0.NumStability.sum_fin_eq_sum_castLE_of_eq_zero	_private.NumStability.Algorithms.HighamChapter9.0.NumStability.sum_fin_eq_sum_castLE_of_eq_zero	_private.NumStability.Source.Higham.Chapter09.Section02.0.NumStability.sum_fin_eq_sum_castLE_of_eq_zero
_private.NumStability.Algorithms.HighamChapter9Theorem914Primitive.0.NumStability.higham9_14_div_input_stability	_private.NumStability.Algorithms.HighamChapter9Theorem914Primitive.0.NumStability.higham9_14_div_input_stability	_private.NumStability.Source.Higham.Chapter09.Theorem914Primitive.0.NumStability.higham9_14_div_input_stability
_private.NumStability.Algorithms.HighamChapter9Theorem914Primitive.0.NumStability.higham9_14_exists_finite_source_bounds	_private.NumStability.Algorithms.HighamChapter9Theorem914Primitive.0.NumStability.higham9_14_exists_finite_source_bounds	_private.NumStability.Source.Higham.Chapter09.Theorem914Primitive.0.NumStability.higham9_14_exists_finite_source_bounds
_private.NumStability.Algorithms.HighamChapter9Theorem914Primitive.0.NumStability.higham9_14_pivotErrorBudget_le_final	_private.NumStability.Algorithms.HighamChapter9Theorem914Primitive.0.NumStability.higham9_14_pivotErrorBudget_le_final	_private.NumStability.Source.Higham.Chapter09.Theorem914Primitive.0.NumStability.higham9_14_pivotErrorBudget_le_final
_private.NumStability.Algorithms.HighamChapter9Theorem914Primitive.0.NumStability.higham9_14_pivotErrorBudget_step	_private.NumStability.Algorithms.HighamChapter9Theorem914Primitive.0.NumStability.higham9_14_pivotErrorBudget_step	_private.NumStability.Source.Higham.Chapter09.Theorem914Primitive.0.NumStability.higham9_14_pivotErrorBudget_step
_private.NumStability.Algorithms.HighamChapter9Theorem914Primitive.0.NumStability.higham9_14_roundedPivot_step_error	_private.NumStability.Algorithms.HighamChapter9Theorem914Primitive.0.NumStability.higham9_14_roundedPivot_step_error	_private.NumStability.Source.Higham.Chapter09.Theorem914Primitive.0.NumStability.higham9_14_roundedPivot_step_error
