format	1
NumStability.HighamDoubleDualEvaluationSet	NumStability.Analysis.HighamChapter6Duality	NumStability.Source.Higham.Chapter06.Equation02	definition	public
NumStability.Lemma66.lemma66_a_abs_entry_le	NumStability.Algorithms.Chapter06Lemma66	NumStability.Source.Higham.Chapter06.Lemma06	theorem	public
NumStability.Lemma66.lemma66_a_frobenius_le	NumStability.Algorithms.Chapter06Lemma66	NumStability.Source.Higham.Chapter06.Lemma06	theorem	public
NumStability.Lemma66.lemma66_a_op2_le	NumStability.Algorithms.Chapter06Lemma66	NumStability.Source.Higham.Chapter06.Lemma06	theorem	public
NumStability.Lemma66.lemma66_a_op2_sharp	NumStability.Algorithms.Chapter06Lemma66	NumStability.Source.Higham.Chapter06.Lemma06	theorem	public
NumStability.Lemma66.lemma66_c_op2_le	NumStability.Algorithms.Chapter06Lemma66	NumStability.Source.Higham.Chapter06.Lemma06	theorem	public
NumStability.Lemma66.lemma66_colNorm1	NumStability.Algorithms.Chapter06Lemma66	NumStability.Source.Higham.Chapter06.Lemma06	definition	public
NumStability.Lemma66.lemma66_colNorm1.eq_1	NumStability.Algorithms.Chapter06Lemma66	NumStability.Source.Higham.Chapter06.Lemma06	theorem	internal
NumStability.Lemma66.lemma66_colNorm1_nonneg	NumStability.Algorithms.Chapter06Lemma66	NumStability.Source.Higham.Chapter06.Lemma06	theorem	public
NumStability.Lemma66.lemma66_colNorm2	NumStability.Algorithms.Chapter06Lemma66	NumStability.Source.Higham.Chapter06.Lemma06	definition	public
NumStability.Lemma66.lemma66_colNorm2.eq_1	NumStability.Algorithms.Chapter06Lemma66	NumStability.Source.Higham.Chapter06.Lemma06	theorem	internal
NumStability.Lemma66.lemma66_colNorm2_le_colNorm1	NumStability.Algorithms.Chapter06Lemma66	NumStability.Source.Higham.Chapter06.Lemma06	theorem	public
NumStability.Lemma66.lemma66_colNorm2_le_of_abs_entry_le	NumStability.Algorithms.Chapter06Lemma66	NumStability.Source.Higham.Chapter06.Lemma06	theorem	public
NumStability.Lemma66.lemma66_colNorm2_nonneg	NumStability.Algorithms.Chapter06Lemma66	NumStability.Source.Higham.Chapter06.Lemma06	theorem	public
NumStability.Lemma66.lemma66_colNorm2_sq	NumStability.Algorithms.Chapter06Lemma66	NumStability.Source.Higham.Chapter06.Lemma06	theorem	public
NumStability.Lemma66.lemma66_colNormSq	NumStability.Algorithms.Chapter06Lemma66	NumStability.Source.Higham.Chapter06.Lemma06	definition	public
NumStability.Lemma66.lemma66_colNormSq_le_of_abs_entry_le	NumStability.Algorithms.Chapter06Lemma66	NumStability.Source.Higham.Chapter06.Lemma06	theorem	public
NumStability.Lemma66.lemma66_colNormSq_le_of_colNorm2_le	NumStability.Algorithms.Chapter06Lemma66	NumStability.Source.Higham.Chapter06.Lemma06	theorem	public
NumStability.Lemma66.lemma66_colNormSq_nonneg	NumStability.Algorithms.Chapter06Lemma66	NumStability.Source.Higham.Chapter06.Lemma06	theorem	public
NumStability.Lemma66.lemma66_entry_le_colNorm2	NumStability.Algorithms.Chapter06Lemma66	NumStability.Source.Higham.Chapter06.Lemma06	theorem	public
NumStability.Lemma66.lemma66_frobeniusSq_eq_sum_colNormSq	NumStability.Algorithms.Chapter06Lemma66	NumStability.Source.Higham.Chapter06.Lemma06	theorem	public
NumStability.ch6aside_blockAntidiagLpCLM	NumStability.Analysis.Higham6BlockAntidiag	NumStability.Source.Higham.Chapter06.BlockAntidiagonalNorm.InducedLp	definition	public
NumStability.ch6aside_blockAntidiagLpCLM.eq_1	NumStability.Analysis.Higham6BlockAntidiag	NumStability.Source.Higham.Chapter06.BlockAntidiagonalNorm.InducedLp	theorem	internal
NumStability.ch6aside_blockAntidiagLpCLM_components	NumStability.Analysis.Higham6BlockAntidiag	NumStability.Source.Higham.Chapter06.BlockAntidiagonalNorm.InducedLp	theorem	public
NumStability.ch6aside_blockAntidiag_hermitian	NumStability.Analysis.Higham6Asides	NumStability.Source.Higham.Chapter06.BlockAntidiagonalNorm.OperatorTwo	theorem	public
NumStability.ch6aside_blockAntidiag_lp_eq	NumStability.Analysis.Higham6BlockAntidiag	NumStability.Source.Higham.Chapter06.BlockAntidiagonalNorm.InducedLp	theorem	public
NumStability.ch6aside_blockAntidiag_op2_eq	NumStability.Analysis.Higham6Asides	NumStability.Source.Higham.Chapter06.BlockAntidiagonalNorm.OperatorTwo	theorem	public
NumStability.ch6aside_blockAntidiag_sq	NumStability.Analysis.Higham6Asides	NumStability.Source.Higham.Chapter06.BlockAntidiagonalNorm.OperatorTwo	theorem	public
