format	1
NumStability.Algorithms.LeastSquares.Higham20Algorithms	compatibility
NumStability.Algorithms.LeastSquares.Higham20AlternativeBound	compatibility
NumStability.Algorithms.LeastSquares.Higham20CrossProductExample	compatibility
NumStability.Algorithms.LeastSquares.Higham20EliminationActual	compatibility
NumStability.Algorithms.LeastSquares.Higham20Equations	compatibility
NumStability.Algorithms.LeastSquares.Higham20ExampleCondition	compatibility
NumStability.Algorithms.LeastSquares.Higham20GeneralWedin	compatibility
NumStability.Algorithms.LeastSquares.Higham20Lemma20_11	compatibility
NumStability.Algorithms.LeastSquares.Higham20Lemma20_12	compatibility
NumStability.Algorithms.LeastSquares.Higham20MGSStability	compatibility
NumStability.Algorithms.LeastSquares.Higham20MPProse	compatibility
NumStability.Algorithms.LeastSquares.Higham20MinimumNormBackwardError	compatibility
NumStability.Algorithms.LeastSquares.Higham20NormalEquationsNorms	compatibility
NumStability.Algorithms.LeastSquares.Higham20Problem20_3	compatibility
NumStability.Algorithms.LeastSquares.Higham20Prose	compatibility
NumStability.Algorithms.LeastSquares.Higham20QuantitativeProse	compatibility
NumStability.Algorithms.LeastSquares.Higham20Refinement	compatibility
NumStability.Algorithms.LeastSquares.Higham20Remaining	compatibility
NumStability.Algorithms.LeastSquares.Higham20ResidualQuality	compatibility
NumStability.Algorithms.LeastSquares.Higham20RowSorting	compatibility
NumStability.Algorithms.LeastSquares.Higham20SourceAliases	compatibility
NumStability.Algorithms.LeastSquares.Higham20Theorem20_10	compatibility
NumStability.Algorithms.LeastSquares.Higham20Theorem20_3	compatibility
NumStability.Algorithms.LeastSquares.Higham20Theorem20_4Absorption	compatibility
NumStability.Algorithms.LeastSquares.Higham20Theorem20_7	compatibility
NumStability.Algorithms.LeastSquares.Higham20Theorem20_7ActualAssembly	compatibility
NumStability.Algorithms.LeastSquares.Higham20Theorem20_7ActualBackSub	compatibility
NumStability.Algorithms.LeastSquares.Higham20Theorem20_7ActualClosure	compatibility
NumStability.Algorithms.LeastSquares.Higham20Theorem20_7ActualGrowth	compatibility
NumStability.Algorithms.LeastSquares.Higham20Theorem20_7ActualRhs	compatibility
NumStability.Algorithms.LeastSquares.Higham20Theorem20_7ActualTrace	compatibility
NumStability.Algorithms.LeastSquares.Higham20Theorem20_7Contract	compatibility
NumStability.Algorithms.LeastSquares.Higham20Theorem20_7QdR	compatibility
NumStability.Algorithms.LeastSquares.Higham20Theorem20_7Runtime	compatibility
NumStability.Algorithms.LeastSquares.Higham20Theorem20_7SourceTrace	compatibility
NumStability.Algorithms.LeastSquares.Higham20Theorem20_8	compatibility
NumStability.Algorithms.LeastSquares.Higham20WeightedLimit	compatibility
NumStability.Algorithms.LeastSquares.Higham20ZeroDeltaB	compatibility
NumStability.Algorithms.LeastSquares.LSE	compatibility
NumStability.Algorithms.LeastSquares.LSNormalEquations	compatibility
NumStability.Algorithms.LeastSquares.LSPerturbation	compatibility
NumStability.Algorithms.LeastSquares.LSQRSolve	compatibility
NumStability.Algorithms.LinearSystems.LeastSquares	reusable
NumStability.Algorithms.LinearSystems.LeastSquares.AugmentedSystem	reusable
NumStability.Algorithms.LinearSystems.LeastSquares.Basic	reusable
NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic	reusable
NumStability.Algorithms.LinearSystems.LeastSquares.Equality.GQR	reusable
NumStability.Algorithms.LinearSystems.LeastSquares.Equality.KKT	reusable
NumStability.Algorithms.LinearSystems.LeastSquares.GramBasis	reusable
NumStability.Algorithms.LinearSystems.LeastSquares.MGS	reusable
NumStability.Algorithms.LinearSystems.LeastSquares.NormalEquations	reusable
NumStability.Algorithms.LinearSystems.LeastSquares.QRSolve	reusable
NumStability.Algorithms.LinearSystems.LeastSquares.RankGeometry	reusable
NumStability.Algorithms.LinearSystems.LeastSquares.Refinement	reusable
NumStability.Algorithms.LinearSystems.LeastSquares.RowSorting	reusable
NumStability.Algorithms.LinearSystems.LeastSquares.StoredQR	reusable
NumStability.Algorithms.LinearSystems.LeastSquares.TraceKernel	reusable
NumStability.Analysis.Perturbation.LeastSquares	reusable
NumStability.Analysis.Perturbation.LeastSquares.Absorption	reusable
NumStability.Analysis.Perturbation.LeastSquares.AlternativeBound	reusable
NumStability.Analysis.Perturbation.LeastSquares.AugmentedSystem	reusable
NumStability.Analysis.Perturbation.LeastSquares.BackwardError	reusable
NumStability.Analysis.Perturbation.LeastSquares.Basic	reusable
NumStability.Analysis.Perturbation.LeastSquares.Conditioning	reusable
NumStability.Analysis.Perturbation.LeastSquares.Contract	reusable
NumStability.Analysis.Perturbation.LeastSquares.Equality.KKTInverse	reusable
NumStability.Analysis.Perturbation.LeastSquares.Equality.MixedStability	reusable
NumStability.Analysis.Perturbation.LeastSquares.Equality.Perturbation	reusable
NumStability.Analysis.Perturbation.LeastSquares.Equality.RowwiseBackwardError	reusable
NumStability.Analysis.Perturbation.LeastSquares.GramBasis	reusable
NumStability.Analysis.Perturbation.LeastSquares.MinimumNorm	reusable
NumStability.Analysis.Perturbation.LeastSquares.NormalEquations	reusable
NumStability.Analysis.Perturbation.LeastSquares.Normwise	reusable
NumStability.Analysis.Perturbation.LeastSquares.Projection	reusable
NumStability.Analysis.Perturbation.LeastSquares.ResidualQuality	reusable
NumStability.Analysis.Perturbation.LeastSquares.Wedin	reusable
NumStability.Analysis.Perturbation.LeastSquares.WeightedLimit	reusable
NumStability.Higham.Chapter20.SourceAliases	compatibility
NumStability.Source.Higham.Chapter20	source
NumStability.Source.Higham.Chapter20.Equation32	source
NumStability.Source.Higham.Chapter20.Equations	source
NumStability.Source.Higham.Chapter20.Equations.WeightedLimit	source
NumStability.Source.Higham.Chapter20.Examples.Condition	source
NumStability.Source.Higham.Chapter20.Examples.CrossProduct	source
NumStability.Source.Higham.Chapter20.Examples.GeneralRank	source
NumStability.Source.Higham.Chapter20.Lemma06	source
NumStability.Source.Higham.Chapter20.Lemma11	source
NumStability.Source.Higham.Chapter20.Lemma11.Support	source
NumStability.Source.Higham.Chapter20.Lemma12	source
NumStability.Source.Higham.Chapter20.MinimumNormBackwardError	source
NumStability.Source.Higham.Chapter20.NormalEquations	source
NumStability.Source.Higham.Chapter20.Problem03	source
NumStability.Source.Higham.Chapter20.Problem05.MGSStability	source
NumStability.Source.Higham.Chapter20.Prose	source
NumStability.Source.Higham.Chapter20.Prose.MoorePenrose	source
NumStability.Source.Higham.Chapter20.Prose.Quantitative	source
NumStability.Source.Higham.Chapter20.Remaining	source
NumStability.Source.Higham.Chapter20.Section02.Algorithms	source
NumStability.Source.Higham.Chapter20.Theorem01	source
NumStability.Source.Higham.Chapter20.Theorem02.AlternativeBound	source
NumStability.Source.Higham.Chapter20.Theorem03	source
NumStability.Source.Higham.Chapter20.Theorem03.QRSolve	source
NumStability.Source.Higham.Chapter20.Theorem03.ResidualQuality	source
NumStability.Source.Higham.Chapter20.Theorem03.ZeroDeltaB	source
NumStability.Source.Higham.Chapter20.Theorem04	source
NumStability.Source.Higham.Chapter20.Theorem04.Refinement	source
NumStability.Source.Higham.Chapter20.Theorem07	source
NumStability.Source.Higham.Chapter20.Theorem07.ActualAssembly	source
NumStability.Source.Higham.Chapter20.Theorem07.ActualBackSub	source
NumStability.Source.Higham.Chapter20.Theorem07.ActualClosure	source
NumStability.Source.Higham.Chapter20.Theorem07.ActualGrowth	source
NumStability.Source.Higham.Chapter20.Theorem07.ActualRhs	source
NumStability.Source.Higham.Chapter20.Theorem07.ActualTrace	source
NumStability.Source.Higham.Chapter20.Theorem07.Contract	source
NumStability.Source.Higham.Chapter20.Theorem07.Elimination	source
NumStability.Source.Higham.Chapter20.Theorem07.QdR	source
NumStability.Source.Higham.Chapter20.Theorem07.RowPolicy	source
NumStability.Source.Higham.Chapter20.Theorem07.Runtime	source
NumStability.Source.Higham.Chapter20.Theorem07.SourceTrace	source
NumStability.Source.Higham.Chapter20.Theorem08	source
NumStability.Source.Higham.Chapter20.Theorem08.LSE	source
NumStability.Source.Higham.Chapter20.Theorem10	source
