format	1
Function.Embedding.toEquivRange.eq_1	NumStability.Analysis.SingularValues.Basic	theorem	internal
NumStability.CMatrix	NumStability.Analysis.MatrixNorms.Basic	definition	public
NumStability.CVec	NumStability.Analysis.VectorNorms.Basic	definition	public
NumStability.ComplexMatrixAllSingularValuesEqualOp2	NumStability.Analysis.MatrixNorms.Comparisons	definition	public
NumStability.ComplexMatrixEigenvalueModulusSet	NumStability.Analysis.MatrixNorms.SpectralRadius	definition	public
NumStability.ComplexMatrixFixedOperatorIdealNorm	NumStability.Analysis.MatrixNorms.UnitarilyInvariant	inductive	public
NumStability.ComplexMatrixFixedOperatorIdealNorm._sizeOf_1	NumStability.Analysis.MatrixNorms.UnitarilyInvariant	definition	internal
NumStability.ComplexMatrixFixedOperatorIdealNorm._sizeOf_inst	NumStability.Analysis.MatrixNorms.UnitarilyInvariant	definition	internal
NumStability.ComplexMatrixFixedOperatorIdealNorm.casesOn	NumStability.Analysis.MatrixNorms.UnitarilyInvariant	definition	public
NumStability.ComplexMatrixFixedOperatorIdealNorm.ctorIdx	NumStability.Analysis.MatrixNorms.UnitarilyInvariant	definition	public
NumStability.ComplexMatrixFixedOperatorIdealNorm.left_mul_le	NumStability.Analysis.MatrixNorms.UnitarilyInvariant	theorem	public
NumStability.ComplexMatrixFixedOperatorIdealNorm.mk	NumStability.Analysis.MatrixNorms.UnitarilyInvariant	constructor	public
NumStability.ComplexMatrixFixedOperatorIdealNorm.mk._flat_ctor	NumStability.Analysis.MatrixNorms.UnitarilyInvariant	definition	internal
NumStability.ComplexMatrixFixedOperatorIdealNorm.mk.inj	NumStability.Analysis.MatrixNorms.UnitarilyInvariant	theorem	public
NumStability.ComplexMatrixFixedOperatorIdealNorm.mk.injEq	NumStability.Analysis.MatrixNorms.UnitarilyInvariant	theorem	public
NumStability.ComplexMatrixFixedOperatorIdealNorm.mk.noConfusion	NumStability.Analysis.MatrixNorms.UnitarilyInvariant	definition	public
NumStability.ComplexMatrixFixedOperatorIdealNorm.mk.sizeOf_spec	NumStability.Analysis.MatrixNorms.UnitarilyInvariant	theorem	public
NumStability.ComplexMatrixFixedOperatorIdealNorm.noConfusion	NumStability.Analysis.MatrixNorms.UnitarilyInvariant	definition	public
NumStability.ComplexMatrixFixedOperatorIdealNorm.noConfusionType	NumStability.Analysis.MatrixNorms.UnitarilyInvariant	definition	public
NumStability.ComplexMatrixFixedOperatorIdealNorm.norm	NumStability.Analysis.MatrixNorms.UnitarilyInvariant	definition	public
NumStability.ComplexMatrixFixedOperatorIdealNorm.norm_nonneg	NumStability.Analysis.MatrixNorms.UnitarilyInvariant	theorem	public
NumStability.ComplexMatrixFixedOperatorIdealNorm.rec	NumStability.Analysis.MatrixNorms.UnitarilyInvariant	recursor	public
NumStability.ComplexMatrixFixedOperatorIdealNorm.recOn	NumStability.Analysis.MatrixNorms.UnitarilyInvariant	definition	public
NumStability.ComplexMatrixFixedOperatorIdealNorm.right_mul_le	NumStability.Analysis.MatrixNorms.UnitarilyInvariant	theorem	public
NumStability.ComplexMatrixFixedUnitaryInvariantNorm	NumStability.Analysis.MatrixNorms.UnitarilyInvariant	inductive	public
NumStability.ComplexMatrixFixedUnitaryInvariantNorm._sizeOf_1	NumStability.Analysis.MatrixNorms.UnitarilyInvariant	definition	internal
NumStability.ComplexMatrixFixedUnitaryInvariantNorm._sizeOf_inst	NumStability.Analysis.MatrixNorms.UnitarilyInvariant	definition	internal
NumStability.ComplexMatrixFixedUnitaryInvariantNorm.add_le	NumStability.Analysis.MatrixNorms.UnitarilyInvariant	theorem	public
NumStability.ComplexMatrixFixedUnitaryInvariantNorm.casesOn	NumStability.Analysis.MatrixNorms.UnitarilyInvariant	definition	public
NumStability.ComplexMatrixFixedUnitaryInvariantNorm.ctorIdx	NumStability.Analysis.MatrixNorms.UnitarilyInvariant	definition	public
NumStability.ComplexMatrixFixedUnitaryInvariantNorm.eq_zero_iff	NumStability.Analysis.MatrixNorms.UnitarilyInvariant	theorem	public
NumStability.ComplexMatrixFixedUnitaryInvariantNorm.left_contraction_le	NumStability.Analysis.MatrixNorms.UnitarilyInvariant	theorem	public
NumStability.ComplexMatrixFixedUnitaryInvariantNorm.left_mul_le	NumStability.Analysis.MatrixNorms.UnitarilyInvariant	theorem	public
NumStability.ComplexMatrixFixedUnitaryInvariantNorm.left_unitary	NumStability.Analysis.MatrixNorms.UnitarilyInvariant	theorem	public
