format	1
NumStability.Algorithms.QR.GivensMatrixStep	NumStability.Algorithms.QR.GivensSpec	ordinary
NumStability.Algorithms.QR.GivensQR	Mathlib.Algebra.BigOperators.Group.Finset.Basic	ordinary
NumStability.Algorithms.QR.GivensQR	Mathlib.Algebra.Order.BigOperators.Group.Finset	ordinary
NumStability.Algorithms.QR.GivensQR	Mathlib.Data.Real.Basic	ordinary
NumStability.Algorithms.QR.GivensQR	Mathlib.Data.Real.Sqrt	ordinary
NumStability.Algorithms.QR.GivensQR	Mathlib.Tactic.Linarith	ordinary
NumStability.Algorithms.QR.GivensQR	Mathlib.Tactic.Ring	ordinary
NumStability.Algorithms.QR.GivensQR	NumStability.Algorithms.QR.GivensMatrixStep	ordinary
NumStability.Algorithms.QR.GivensQR	NumStability.Algorithms.QR.GivensSpec	ordinary
NumStability.Algorithms.QR.GivensQR	NumStability.Algorithms.QR.HouseholderQR	ordinary
NumStability.Algorithms.QR.GivensQR	NumStability.Analysis.MatrixAlgebra	ordinary
NumStability.Algorithms.QR.GivensSpec	Mathlib.Algebra.BigOperators.Group.Finset.Basic	ordinary
NumStability.Algorithms.QR.GivensSpec	Mathlib.Algebra.Order.BigOperators.Group.Finset	ordinary
NumStability.Algorithms.QR.GivensSpec	Mathlib.Data.Real.Basic	ordinary
NumStability.Algorithms.QR.GivensSpec	Mathlib.Data.Real.Sqrt	ordinary
NumStability.Algorithms.QR.GivensSpec	Mathlib.Tactic.FieldSimp	ordinary
NumStability.Algorithms.QR.GivensSpec	Mathlib.Tactic.Linarith	ordinary
NumStability.Algorithms.QR.GivensSpec	Mathlib.Tactic.Ring	ordinary
NumStability.Algorithms.QR.GivensSpec	NumStability.Algorithms.Norm2	ordinary
NumStability.Algorithms.QR.GivensSpec	NumStability.Analysis.MatrixAlgebra	ordinary
NumStability.Algorithms.QR.GivensSpec	NumStability.Analysis.Rounding	ordinary
NumStability.Algorithms.QR.GivensSpec	NumStability.FloatingPoint.Model	ordinary
NumStability.Algorithms.QR.GramSchmidt	NumStability.Algorithms.QR.HouseholderQR	ordinary
NumStability.Algorithms.QR.GramSchmidtPolar	NumStability.Algorithms.QR.GramSchmidt	ordinary
NumStability.Algorithms.QR.GramSchmidtPolar	NumStability.Algorithms.RandNLA.LowRankApprox	ordinary
NumStability.Algorithms.QR.Higham19	NumStability.Algorithms.QR.GivensQR	ordinary
NumStability.Algorithms.QR.Higham19	NumStability.Algorithms.QR.GramSchmidt	ordinary
NumStability.Algorithms.QR.Higham19	NumStability.Algorithms.QR.GramSchmidtPolar	ordinary
NumStability.Algorithms.QR.Higham19	NumStability.Algorithms.QR.HouseholderQR	ordinary
NumStability.Algorithms.QR.Higham19	NumStability.Algorithms.QR.HouseholderQRSupport	ordinary
NumStability.Algorithms.QR.Higham19	NumStability.Algorithms.QR.HouseholderSpecSupport	ordinary
NumStability.Algorithms.QR.Higham19Alg11CGSRounded	NumStability.Algorithms.Norm2	ordinary
NumStability.Algorithms.QR.Higham19Alg11CGSRounded	NumStability.Algorithms.QR.GramSchmidt	ordinary
NumStability.Algorithms.QR.Higham19Alg12MGSClosure	NumStability.Algorithms.QR.Higham19Alg12MGSRepair	ordinary
NumStability.Algorithms.QR.Higham19Alg12MGSNonbreakdown	NumStability.Algorithms.QR.Higham19Alg12MGSSourceRate	ordinary
