format	1
declaration	historical_module	destination_module	decision	kind	visibility	command_root	start_line
NumStability.AccuracyMeasure	NumStability.Analysis.Error	NumStability.Analysis.Error.Measures.AccuracyPrecision	move_candidate	inductive	public	NumStability.AccuracyMeasure	719
NumStability.AccuracyMeasure.absolute	NumStability.Analysis.Error	NumStability.Analysis.Error.Measures.AccuracyPrecision	move_candidate	constructor	public	NumStability.AccuracyMeasure	719
NumStability.AccuracyMeasure.absolute.elim	NumStability.Analysis.Error	NumStability.Analysis.Error.Measures.AccuracyPrecision	move_candidate	definition	public	NumStability.AccuracyMeasure	719
NumStability.AccuracyMeasure.absolute.sizeOf_spec	NumStability.Analysis.Error	NumStability.Analysis.Error.Measures.AccuracyPrecision	move_candidate	theorem	public	NumStability.AccuracyMeasure	719
NumStability.AccuracyMeasure.casesOn	NumStability.Analysis.Error	NumStability.Analysis.Error.Measures.AccuracyPrecision	move_candidate	definition	public	NumStability.AccuracyMeasure	719
NumStability.AccuracyMeasure.ctorElim	NumStability.Analysis.Error	NumStability.Analysis.Error.Measures.AccuracyPrecision	move_candidate	definition	public	NumStability.AccuracyMeasure	719
NumStability.AccuracyMeasure.ctorElimType	NumStability.Analysis.Error	NumStability.Analysis.Error.Measures.AccuracyPrecision	move_candidate	definition	public	NumStability.AccuracyMeasure	719
NumStability.AccuracyMeasure.ctorIdx	NumStability.Analysis.Error	NumStability.Analysis.Error.Measures.AccuracyPrecision	move_candidate	definition	public	NumStability.AccuracyMeasure	719
NumStability.AccuracyMeasure.noConfusion	NumStability.Analysis.Error	NumStability.Analysis.Error.Measures.AccuracyPrecision	move_candidate	definition	public	NumStability.AccuracyMeasure	719
NumStability.AccuracyMeasure.noConfusionType	NumStability.Analysis.Error	NumStability.Analysis.Error.Measures.AccuracyPrecision	move_candidate	definition	public	NumStability.AccuracyMeasure	719
NumStability.AccuracyMeasure.ofNat	NumStability.Analysis.Error	NumStability.Analysis.Error.Measures.AccuracyPrecision	move_candidate	definition	public	NumStability.AccuracyMeasure	719
NumStability.AccuracyMeasure.ofNat_ctorIdx	NumStability.Analysis.Error	NumStability.Analysis.Error.Measures.AccuracyPrecision	move_candidate	theorem	public	NumStability.AccuracyMeasure	719
NumStability.AccuracyMeasure.rec	NumStability.Analysis.Error	NumStability.Analysis.Error.Measures.AccuracyPrecision	move_candidate	recursor	public	NumStability.AccuracyMeasure	719
NumStability.AccuracyMeasure.recOn	NumStability.Analysis.Error	NumStability.Analysis.Error.Measures.AccuracyPrecision	move_candidate	definition	public	NumStability.AccuracyMeasure	719
NumStability.AccuracyMeasure.relative	NumStability.Analysis.Error	NumStability.Analysis.Error.Measures.AccuracyPrecision	move_candidate	constructor	public	NumStability.AccuracyMeasure	719
NumStability.AccuracyMeasure.relative.elim	NumStability.Analysis.Error	NumStability.Analysis.Error.Measures.AccuracyPrecision	move_candidate	definition	public	NumStability.AccuracyMeasure	719
NumStability.AccuracyMeasure.relative.sizeOf_spec	NumStability.Analysis.Error	NumStability.Analysis.Error.Measures.AccuracyPrecision	move_candidate	theorem	public	NumStability.AccuracyMeasure	719
NumStability.AccuracyMeasure.toCtorIdx	NumStability.Analysis.Error	NumStability.Analysis.Error.Measures.AccuracyPrecision	move_candidate	definition	public	NumStability.AccuracyMeasure	719
NumStability.AccuracyMeasure.value	NumStability.Analysis.Error	NumStability.Analysis.Error.Measures.AccuracyPrecision	move_candidate	definition	public	NumStability.AccuracyMeasure.value	728
NumStability.AccuracyMeasure.value_absolute	NumStability.Analysis.Error	NumStability.Analysis.Error.Measures.AccuracyPrecision	move_candidate	theorem	public	NumStability.AccuracyMeasure.value_absolute	733
NumStability.AccuracyMeasure.value_relative	NumStability.Analysis.Error	NumStability.Analysis.Error.Measures.AccuracyPrecision	move_candidate	theorem	public	NumStability.AccuracyMeasure.value_relative	737
NumStability.BackSubAnyOrderSpec	NumStability.Algorithms.TriangularArbitraryOrder	NumStability.Source.Higham.Chapter08.Section03.TriangularSystems.ArbitraryOrder	move_candidate	definition	public	NumStability.BackSubAnyOrderSpec	690
NumStability.BasicOperationPrecisionBounded	NumStability.Analysis.Error	NumStability.Analysis.Error.Measures.AccuracyPrecision	move_candidate	definition	public	NumStability.BasicOperationPrecisionBounded	769
NumStability.BeneficialPowerStoredStartDominantComponentCertificate	NumStability.Analysis.BeneficialRounding	NumStability.Analysis.BeneficialRounding	canonical_in_place	definition	public	-	-
NumStability.BinaryTerminating	NumStability.Analysis.BeneficialRounding	NumStability.Analysis.BeneficialRounding	canonical_in_place	definition	public	-	-
NumStability.Ch7InverseComponentwiseRadiusSet	NumStability.Analysis.HighamChapter7	NumStability.Source.Higham.Chapter07.Equation25.InverseConditioning.ExactPerturbation	move_candidate	definition	public	NumStability.Ch7InverseComponentwiseRadiusSet	5093
NumStability.Ch7NormwiseCondEFRadiusSet	NumStability.Analysis.HighamChapter7	NumStability.Source.Higham.Chapter07.LinearSystemsConditioning.Equation05	move_candidate	definition	public	NumStability.Ch7NormwiseCondEFRadiusSet	24294
NumStability.Ch7Problem79ComponentwiseExactRadiusSet	NumStability.Analysis.HighamChapter7	NumStability.Source.Higham.Chapter07.LinearSystemsConditioning.Problem09Exact	move_candidate	definition	public	NumStability.Ch7Problem79ComponentwiseExactRadiusSet	5903
NumStability.Ch7Problem79ComponentwiseLinearizedRadiusSet	NumStability.Analysis.HighamChapter7	NumStability.Source.Higham.Chapter07.LinearSystemsConditioning.Problem09Linearized	move_candidate	definition	public	NumStability.Ch7Problem79ComponentwiseLinearizedRadiusSet	2887
NumStability.Ch7Problem79NormwiseExactRadiusSet	NumStability.Analysis.HighamChapter7	NumStability.Source.Higham.Chapter07.LinearSystemsConditioning.Problem09Exact	move_candidate	definition	public	NumStability.Ch7Problem79NormwiseExactRadiusSet	6368
NumStability.Ch7Problem79NormwiseLinearizedRadiusSet	NumStability.Analysis.HighamChapter7	NumStability.Source.Higham.Chapter07.LinearSystemsConditioning.Problem09Linearized	move_candidate	definition	public	NumStability.Ch7Problem79NormwiseLinearizedRadiusSet	3032
NumStability.ComponentwiseBackwardError	NumStability.Algorithms.IterativeRefinement	NumStability.Algorithms.LinearSystems.IterativeRefinement.Core	move_candidate	inductive	public	NumStability.ComponentwiseBackwardError	368
NumStability.ComponentwiseBackwardError.casesOn	NumStability.Algorithms.IterativeRefinement	NumStability.Algorithms.LinearSystems.IterativeRefinement.Core	move_candidate	definition	public	NumStability.ComponentwiseBackwardError	368
NumStability.ComponentwiseBackwardError.ctorIdx	NumStability.Algorithms.IterativeRefinement	NumStability.Algorithms.LinearSystems.IterativeRefinement.Core	move_candidate	definition	public	NumStability.ComponentwiseBackwardError	368
NumStability.ComponentwiseBackwardError.exact	NumStability.Algorithms.IterativeRefinement	NumStability.Algorithms.LinearSystems.IterativeRefinement.Core	move_candidate	theorem	public	NumStability.ComponentwiseBackwardError	368
NumStability.ComponentwiseBackwardError.mk	NumStability.Algorithms.IterativeRefinement	NumStability.Algorithms.LinearSystems.IterativeRefinement.Core	move_candidate	constructor	public	NumStability.ComponentwiseBackwardError	368
