module	declaration	visibility	reason	trigger
NumStability.Algorithms.Ch10KahanSharpnessSource	NumStability.Higham10KahanSharpnessSourceCertificate.of_theta	public	references a retained declaration	NumStability.higham10KahanFullR_tail_le
NumStability.Algorithms.Cholesky.CholeskySpec	NumStability.cholesky_existence	public	uses same-module private	_private.NumStability.Algorithms.Cholesky.CholeskySpec.0.NumStability.schur_pd
NumStability.Algorithms.Cholesky.CholeskyDemmel	NumStability.cholesky_succeeds_of_scaled_perturbation	public	references a retained declaration	NumStability.cholesky_existence
NumStability.Algorithms.Cholesky.CholeskySpec	NumStability.cholesky_uniqueness	public	uses same-module private	_private.NumStability.Algorithms.Cholesky.CholeskySpec.0.NumStability.cholesky_factor_uniqueness
NumStability.Algorithms.HighamChapter10	NumStability.finiteMaxEigenvalue_leading_principal_le	public	references a retained declaration	NumStability.quadForm_zero_pad_eq
NumStability.Algorithms.HighamChapter10	NumStability.finiteMinEigenvalue_leading_principal_ge	public	references a retained declaration	NumStability.quadForm_zero_pad_eq
NumStability.Algorithms.Cholesky.CholeskyFl	NumStability.fl_chol_diag_solve_form	public	uses same-module private	_private.NumStability.Algorithms.Cholesky.CholeskyFl.0.NumStability.chol_term_factor_bound
NumStability.Algorithms.Cholesky.CholeskyFl	NumStability.fl_chol_offdiag_solve_form	public	uses same-module private	_private.NumStability.Algorithms.Cholesky.CholeskyFl.0.NumStability.chol_term_factor_bound
NumStability.Algorithms.Cholesky.CholeskyFl	NumStability.fl_choleskyTrunc_backward_error	public	references a retained declaration	NumStability.fl_cholesky_truncated_border_demmel
NumStability.Algorithms.Cholesky.CholeskyFl	NumStability.fl_cholesky_backward_error	public	uses same-module private	_private.NumStability.Algorithms.Cholesky.CholeskyFl.0.NumStability.fl_cholesky_entry_bound
NumStability.Algorithms.Cholesky.CholeskyFl	NumStability.fl_cholesky_block_certificate	public	references a retained declaration	NumStability.fl_cholesky_backward_error
NumStability.Algorithms.Cholesky.CholeskyFl	NumStability.fl_cholesky_border_bound	public	references a retained declaration	NumStability.fl_cholesky_truncated_bound
NumStability.Algorithms.Cholesky.CholeskyFl	NumStability.fl_cholesky_colNormSq_le_stage	public	references a retained declaration	NumStability.fl_cholesky_entry_bound_stage
NumStability.Algorithms.Cholesky.CholeskyFl	NumStability.fl_cholesky_diag_pos_of_floor	public	uses same-module private	_private.NumStability.Algorithms.Cholesky.CholeskyFl.0.NumStability.u_lt_one_of_gammaValid_succ
NumStability.Algorithms.Cholesky.CholeskyFl	NumStability.fl_cholesky_entry_bound_stage	public	uses same-module private	_private.NumStability.Algorithms.Cholesky.CholeskyFl.0.NumStability.chol_cert_core
NumStability.Algorithms.Cholesky.CholeskyFl	NumStability.fl_cholesky_pivot_pos_step	public	uses same-module private	_private.NumStability.Algorithms.Cholesky.CholeskyFl.0.NumStability.u_lt_one_of_gammaValid_succ
NumStability.Algorithms.Cholesky.CholeskyFl	NumStability.fl_cholesky_pivot_pos_step_sharp	public	uses same-module private	_private.NumStability.Algorithms.Cholesky.CholeskyFl.0.NumStability.u_lt_one_of_gammaValid_succ
NumStability.Algorithms.Cholesky.CholeskyFl	NumStability.fl_cholesky_pivots_pos	public	references a retained declaration	NumStability.fl_cholesky_pivot_pos_step
NumStability.Algorithms.Cholesky.CholeskyFl	NumStability.fl_cholesky_pivots_pos_sharp	public	references a retained declaration	NumStability.fl_cholesky_pivot_pos_step_sharp
NumStability.Algorithms.HighamChapter10	NumStability.fl_cholesky_pivots_pos_sharp_certified	public	references a retained declaration	NumStability.fl_cholesky_pivots_pos_sharp
NumStability.Algorithms.Cholesky.CholeskyFl	NumStability.fl_cholesky_truncated_border_demmel	public	references a retained declaration	NumStability.fl_cholesky_colNormSq_le_stage
NumStability.Algorithms.Cholesky.CholeskyFl	NumStability.fl_cholesky_truncated_bound	public	references a retained declaration	NumStability.fl_cholesky_entry_bound_stage
NumStability.Algorithms.Cholesky.CholeskyFl	NumStability.fl_cholesky_truncated_demmel	public	references a retained declaration	NumStability.fl_cholesky_colNormSq_le_stage
NumStability.Algorithms.Cholesky.CholeskyPSD	NumStability.fl_cpFactor_rows_dominated	public	references a retained declaration	NumStability.fl_factor_row_dominated
NumStability.Algorithms.Cholesky.CholeskyPSD	NumStability.fl_cp_termination_trailing_bound	public	references a retained declaration	NumStability.psd_abs_entry_le_maxdiag
NumStability.Algorithms.Cholesky.CholeskyPSD	NumStability.fl_factor_row_dominated	public	references a retained declaration	NumStability.psd_abs_entry_le_sqrt_diag
NumStability.Algorithms.Ch10KahanSharpnessSource	NumStability.higham10KahanFullR_tail_le	public	references a retained declaration	NumStability.higham10KahanR_tail_le
NumStability.Algorithms.Ch10KahanSharpnessSource	NumStability.higham10KahanR_tail_le	public	uses same-module private	_private.NumStability.Algorithms.Ch10KahanSharpnessSource.0.NumStability.higham10Kahan_geometric_segment
NumStability.Algorithms.Ch10KahanSharpnessSource	NumStability.higham10KahanW_op2_eq_frobenius	public	references a retained declaration	NumStability.higham10KahanW_op2_sq
NumStability.Algorithms.Ch10KahanSharpnessSource	NumStability.higham10KahanW_op2_eq_product	public	uses same-module private	_private.NumStability.Algorithms.Ch10KahanSharpnessSource.0.NumStability.complexMatrixOp2_vecMulVec
NumStability.Algorithms.Ch10KahanSharpnessSource	NumStability.higham10KahanW_op2_sq	public	references a retained declaration	NumStability.higham10KahanW_op2_eq_product
NumStability.Algorithms.HighamChapter10	NumStability.higham10_12_w_action_trace_bound	public	references a retained declaration	NumStability.psd_quadForm_le_trace
NumStability.Algorithms.Ch10KahanSharpnessSource	NumStability.higham10_13_kahan_source_closed	public	references a retained declaration	NumStability.Higham10KahanSharpnessSourceCertificate.of_theta
NumStability.Algorithms.Ch10KahanSharpnessSource	NumStability.higham10_13_kahan_theta_op2_tendsto	public	references a retained declaration	NumStability.higham10KahanW_op2_eq_frobenius
NumStability.Algorithms.Cholesky.Higham1014Equation1022	NumStability.higham10_14_actualSchur_quadratic_bound	public	uses same-module private	_private.NumStability.Algorithms.Cholesky.Higham1014Equation1022.0.NumStability.higham10_14_abs_entry_le_of_rectOpNorm2Le
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability.higham10_14_actual_componentwise	public	references a retained declaration	NumStability.higham10_14_as_run_backward_error
