format	1
historical_module	historical_path	selected	private	retained_public	retained_private	retained_total	relocated	reusable	source	facade_kind
NumStability.Algorithms.MatrixPowers	NumStability/Algorithms/MatrixPowers.lean	53	0	0	0	0	53	36	17	pure_import_shim
NumStability.Algorithms.MatrixPowersComplex	NumStability/Algorithms/MatrixPowersComplex.lean	23	0	0	0	0	23	19	4	pure_import_shim
NumStability.Algorithms.MatrixPowersJordan	NumStability/Algorithms/MatrixPowersJordan.lean	19	0	0	0	0	19	16	3	pure_import_shim
NumStability.Algorithms.MatrixPowersLp	NumStability/Algorithms/MatrixPowersLp.lean	16	0	0	0	0	16	14	2	pure_import_shim
NumStability.Algorithms.MatrixPowersLpJordan	NumStability/Algorithms/MatrixPowersLpJordan.lean	8	0	0	0	0	8	7	1	pure_import_shim
NumStability.Algorithms.MatrixPowersPseudospectral	NumStability/Algorithms/MatrixPowersPseudospectral.lean	7	0	0	0	0	7	5	2	pure_import_shim
NumStability.Algorithms.MatrixPowersPseudospectralCriterion	NumStability/Algorithms/MatrixPowersPseudospectralCriterion.lean	6	0	0	0	0	6	4	2	pure_import_shim
NumStability.Algorithms.MatrixPowersSpectral	NumStability/Algorithms/MatrixPowersSpectral.lean	10	0	0	0	0	10	7	3	pure_import_shim
NumStability.Algorithms.Sylvester.Higham16AutoCondition	NumStability/Algorithms/Sylvester/Higham16AutoCondition.lean	13	0	8	0	8	5	5	0	declaration_bearing
NumStability.Algorithms.Sylvester.Higham16Eq9Assembly	NumStability/Algorithms/Sylvester/Higham16Eq9Assembly.lean	18	0	0	0	0	18	2	16	pure_import_shim
NumStability.Algorithms.Sylvester.Higham16Eq9EndToEnd	NumStability/Algorithms/Sylvester/Higham16Eq9EndToEnd.lean	13	0	0	0	0	13	5	8	pure_import_shim
NumStability.Algorithms.Sylvester.Higham16HessenbergRounded	NumStability/Algorithms/Sylvester/Higham16HessenbergRounded.lean	10	0	2	0	2	8	0	8	declaration_bearing
NumStability.Algorithms.Sylvester.Higham16HessenbergSchur	NumStability/Algorithms/Sylvester/Higham16HessenbergSchur.lean	42	0	34	0	34	8	0	8	declaration_bearing
NumStability.Algorithms.Sylvester.Higham16LyapunovSigmaMin	NumStability/Algorithms/Sylvester/Higham16LyapunovSigmaMin.lean	33	0	0	0	0	33	16	17	pure_import_shim
NumStability.Algorithms.Sylvester.Higham16Minimizers	NumStability/Algorithms/Sylvester/Higham16Minimizers.lean	488	26	168	26	194	294	155	139	declaration_bearing
NumStability.Algorithms.Sylvester.Higham16NormEstimator	NumStability/Algorithms/Sylvester/Higham16NormEstimator.lean	31	0	0	0	0	31	29	2	pure_import_shim
NumStability.Algorithms.Sylvester.Higham16PerturbationSigmaMin	NumStability/Algorithms/Sylvester/Higham16PerturbationSigmaMin.lean	34	0	0	0	0	34	14	20	pure_import_shim
NumStability.Algorithms.Sylvester.Higham16PivotedSmallBlocks	NumStability/Algorithms/Sylvester/Higham16PivotedSmallBlocks.lean	41	0	0	0	0	41	37	4	pure_import_shim
NumStability.Algorithms.Sylvester.Higham16Problem16_2	NumStability/Algorithms/Sylvester/Higham16Problem16_2.lean	42	13	21	13	34	8	0	8	declaration_bearing
NumStability.Algorithms.Sylvester.Higham16PsiSigmaMin	NumStability/Algorithms/Sylvester/Higham16PsiSigmaMin.lean	6	0	0	0	0	6	2	4	pure_import_shim
NumStability.Algorithms.Sylvester.Higham16QuasiQuasiRounded	NumStability/Algorithms/Sylvester/Higham16QuasiQuasiRounded.lean	58	0	0	0	0	58	58	0	pure_import_shim
NumStability.Algorithms.Sylvester.Higham16QuasiQuasiSylvester	NumStability/Algorithms/Sylvester/Higham16QuasiQuasiSylvester.lean	34	0	0	0	0	34	22	12	pure_import_shim
NumStability.Algorithms.Sylvester.Higham16QuasiRoundedSolve	NumStability/Algorithms/Sylvester/Higham16QuasiRoundedSolve.lean	38	1	6	1	7	31	31	0	declaration_bearing
NumStability.Algorithms.Sylvester.Higham16QuasiRoundedSylvester	NumStability/Algorithms/Sylvester/Higham16QuasiRoundedSylvester.lean	35	0	16	0	16	19	7	12	declaration_bearing
NumStability.Algorithms.Sylvester.Higham16RoundedExecutor	NumStability/Algorithms/Sylvester/Higham16RoundedExecutor.lean	23	0	0	0	0	23	17	6	pure_import_shim
NumStability.Algorithms.Sylvester.Higham16RoundedTriangular	NumStability/Algorithms/Sylvester/Higham16RoundedTriangular.lean	32	0	0	0	0	32	26	6	pure_import_shim
NumStability.Algorithms.Sylvester.Higham16Spectrum	NumStability/Algorithms/Sylvester/Higham16Spectrum.lean	658	6	299	6	305	353	297	56	declaration_bearing
NumStability.Algorithms.Sylvester.Higham16SpectrumMinimizers	NumStability/Algorithms/Sylvester/Higham16SpectrumMinimizers.lean	16	0	16	0	16	0	0	0	declaration_bearing
NumStability.Algorithms.Sylvester.Higham16VecNorm	NumStability/Algorithms/Sylvester/Higham16VecNorm.lean	584	0	48	0	48	536	291	245	declaration_bearing
NumStability.Algorithms.Sylvester.Higham16VecPermutationNotes	NumStability/Algorithms/Sylvester/Higham16VecPermutationNotes.lean	6	1	2	1	3	3	2	1	declaration_bearing
NumStability.Analysis.BergerGeneral	NumStability/Analysis/BergerGeneral.lean	10	5	5	5	10	0	0	0	declaration_bearing
NumStability.Analysis.BergerInequality	NumStability/Analysis/BergerInequality.lean	6	1	0	1	1	5	5	0	declaration_bearing
NumStability.Analysis.BergerResolvent	NumStability/Analysis/BergerResolvent.lean	14	3	7	3	10	4	4	0	declaration_bearing
NumStability.Analysis.CStarMatrixBridge	NumStability/Analysis/CStarMatrixBridge.lean	97	0	0	0	0	97	97	0	pure_import_shim
NumStability.Analysis.CStarMatrixExpectation	NumStability/Analysis/CStarMatrixExpectation.lean	27	0	0	0	0	27	27	0	pure_import_shim
NumStability.Analysis.CStarMatrixTrace	NumStability/Analysis/CStarMatrixTrace.lean	31	0	0	0	0	31	31	0	pure_import_shim
NumStability.Analysis.DunfordResidue	NumStability/Analysis/DunfordResidue.lean	5	0	0	0	0	5	5	0	pure_import_shim
NumStability.Analysis.HenriciExtremal	NumStability/Analysis/HenriciExtremal.lean	22	0	0	0	0	22	22	0	pure_import_shim
NumStability.Analysis.HenriciSharpConstant	NumStability/Analysis/HenriciSharpConstant.lean	13	0	0	0	0	13	13	0	pure_import_shim
NumStability.Analysis.HenriciSharpConstantExact	NumStability/Analysis/HenriciSharpConstantExact.lean	21	0	0	0	0	21	21	0	pure_import_shim
NumStability.Analysis.JordanNormalForm	NumStability/Analysis/JordanNormalForm.lean	30	0	0	0	0	30	30	0	pure_import_shim
NumStability.Analysis.LiebTrace	NumStability/Analysis/LiebTrace.lean	370	0	0	0	0	370	370	0	pure_import_shim
NumStability.Analysis.MatrixPowersBaiDemmelGu	NumStability/Analysis/MatrixPowersBaiDemmelGu.lean	22	0	0	0	0	22	19	3	pure_import_shim
NumStability.Analysis.MatrixPowersBaiDemmelGuDistance	NumStability/Analysis/MatrixPowersBaiDemmelGuDistance.lean	33	0	0	0	0	33	33	0	pure_import_shim
NumStability.Analysis.MatrixPowersBinomialBound	NumStability/Analysis/MatrixPowersBinomialBound.lean	20	13	4	13	17	3	3	0	declaration_bearing
NumStability.Analysis.MatrixPowersGautschi	NumStability/Analysis/MatrixPowersGautschi.lean	3	0	0	0	0	3	1	2	pure_import_shim
NumStability.Analysis.MatrixPowersHenrici	NumStability/Analysis/MatrixPowersHenrici.lean	21	0	0	0	0	21	21	0	pure_import_shim
NumStability.Analysis.MatrixPowersHenriciNormal	NumStability/Analysis/MatrixPowersHenriciNormal.lean	3	0	2	0	2	1	1	0	declaration_bearing
NumStability.Analysis.MatrixPowersKreiss	NumStability/Analysis/MatrixPowersKreiss.lean	22	0	0	0	0	22	20	2	pure_import_shim
NumStability.Analysis.MatrixPowersKreissSpijker	NumStability/Analysis/MatrixPowersKreissSpijker.lean	22	0	0	0	0	22	20	2	pure_import_shim
NumStability.Analysis.MatrixPowersLaszlo	NumStability/Analysis/MatrixPowersLaszlo.lean	27	0	0	0	0	27	26	1	pure_import_shim
NumStability.Analysis.MatrixPowersLp185Primary	NumStability/Analysis/MatrixPowersLp185Primary.lean	2	0	0	0	0	2	0	2	pure_import_shim
NumStability.Analysis.MatrixPowersSchur	NumStability/Analysis/MatrixPowersSchur.lean	13	6	3	6	9	4	4	0	declaration_bearing
NumStability.Analysis.MatrixPowersSpijkerClosure	NumStability/Analysis/MatrixPowersSpijkerClosure.lean	4	0	4	0	4	0	0	0	declaration_bearing
NumStability.Analysis.MatrixPowersSpijkerPlanar	NumStability/Analysis/MatrixPowersSpijkerPlanar.lean	34	1	4	1	5	29	29	0	declaration_bearing
NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis	NumStability/Analysis/MatrixPowersSpijkerPlanarAnalysis.lean	29	13	4	13	17	12	12	0	declaration_bearing
NumStability.Analysis.MatrixPowersSpijkerRational	NumStability/Analysis/MatrixPowersSpijkerRational.lean	26	0	0	0	0	26	26	0	pure_import_shim
NumStability.Analysis.NilpotentJordanChain	NumStability/Analysis/NilpotentJordanChain.lean	29	0	0	0	0	29	29	0	pure_import_shim
NumStability.Analysis.NumericalRadius	NumStability/Analysis/NumericalRadius.lean	15	1	0	1	1	14	14	0	declaration_bearing
