format	1
reviewed_module	status	owners	imports_or_reason
NumStability.Algorithms.MatrixEquations.Sylvester.Conditioning.AttainedMinima.BackwardError	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16Minimizers	141
NumStability.Algorithms.MatrixEquations.Sylvester.Conditioning.AttainedMinima.Separation	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16Minimizers	14
NumStability.Algorithms.MatrixEquations.Sylvester.Conditioning.AttainedMinima.SpectralPracticalBounds	omitted_projection_pinned	NumStability.Algorithms.Sylvester.Higham16SpectrumMinimizers	no facade dependency or fabricated API permitted
NumStability.Algorithms.MatrixEquations.Sylvester.Conditioning.AutomaticBounds.GramPositivity	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16AutoCondition	5
NumStability.Algorithms.MatrixEquations.Sylvester.Conditioning.PracticalEstimator.OneNorm	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16NormEstimator	9
NumStability.Algorithms.MatrixEquations.Sylvester.Conditioning.SigmaMinBounds.Lyapunov	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16LyapunovSigmaMin	16
NumStability.Algorithms.MatrixEquations.Sylvester.Conditioning.SigmaMinBounds.StructuredSylvester	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16PsiSigmaMin	2
NumStability.Algorithms.MatrixEquations.Sylvester.Conditioning.SigmaMinBounds.SylvesterPerturbation	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16PerturbationSigmaMin	14
NumStability.Algorithms.MatrixEquations.Sylvester.Conditioning.SigmaMinBounds.Vectorized	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16VecNorm	290
NumStability.Algorithms.MatrixEquations.Sylvester.Equation.VectorizationIdentities.KroneckerPermutation	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16VecPermutationNotes	2
NumStability.Algorithms.MatrixEquations.Sylvester.Solvers.ComplexSchur.Existence	declaration_bearing	NumStability.Analysis.SylvesterSchurExistence	25
NumStability.Algorithms.MatrixEquations.Sylvester.Solvers.ComplexSchur.SpectralSolvability	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16Spectrum	50
NumStability.Algorithms.MatrixEquations.Sylvester.Solvers.ComplexSchur.VectorizedSolvability	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16VecNorm	1
NumStability.Algorithms.MatrixEquations.Sylvester.Solvers.HessenbergSchur.RoundedColumnSolve	omitted_projection_pinned	NumStability.Algorithms.Sylvester.Higham16HessenbergRounded	no facade dependency or fabricated API permitted
NumStability.Algorithms.MatrixEquations.Sylvester.Solvers.HessenbergSchur.ShiftedCoefficient	omitted_projection_pinned	NumStability.Algorithms.Sylvester.Higham16HessenbergSchur	no facade dependency or fabricated API permitted
NumStability.Algorithms.MatrixEquations.Sylvester.Solvers.PivotedSmallBlocks.CompletePivot	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16PivotedSmallBlocks	37
NumStability.Algorithms.MatrixEquations.Sylvester.Solvers.QuasiTriangularBartelsStewart.BlockTraversal	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16Spectrum	247
NumStability.Algorithms.MatrixEquations.Sylvester.Solvers.QuasiTriangularBartelsStewart.Executor	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16RoundedExecutor	17
NumStability.Algorithms.MatrixEquations.Sylvester.Solvers.QuasiTriangularBartelsStewart.QuasiQuasiSolve	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16QuasiQuasiSylvester	22
NumStability.Algorithms.MatrixEquations.Sylvester.Solvers.QuasiTriangularBartelsStewart.QuasiTriangularSolve	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16QuasiRoundedSolve	31
NumStability.Algorithms.MatrixEquations.Sylvester.Solvers.QuasiTriangularBartelsStewart.QuasiTriangularSylvester	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16QuasiRoundedSylvester	7
NumStability.Algorithms.MatrixEquations.Sylvester.Solvers.QuasiTriangularBartelsStewart.SmallSystemRounding	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16QuasiQuasiRounded	58
NumStability.Algorithms.MatrixEquations.Sylvester.Solvers.TriangularBartelsStewart.EndToEnd	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16Eq9EndToEnd	5
NumStability.Algorithms.MatrixEquations.Sylvester.Solvers.TriangularBartelsStewart.ResidualAssembly	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16Eq9Assembly	2
NumStability.Algorithms.MatrixEquations.Sylvester.Solvers.TriangularBartelsStewart.RoundedSolve	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16RoundedTriangular	26
NumStability.Algorithms.MatrixPowers.ComputedIteration.Model	declaration_bearing	NumStability.Algorithms.MatrixPowers	11
NumStability.Algorithms.NormEstimation.OneNorm.GeneralIndex	declaration_bearing	NumStability.Algorithms.Sylvester.Higham16NormEstimator	20
NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	declaration_bearing	NumStability.Analysis.CStarMatrixBridge	97
NumStability.Analysis.CStarMatrices.Expectation.Finite	declaration_bearing	NumStability.Analysis.CStarMatrixExpectation	27
NumStability.Analysis.CStarMatrices.Trace.Basic	declaration_bearing	NumStability.Analysis.CStarMatrixTrace	31
NumStability.Analysis.FunctionalCalculus.OperatorLog.Monotonicity	declaration_bearing	NumStability.Analysis.OperatorLog	19
NumStability.Analysis.FunctionalCalculus.Resolvent.Analyticity	declaration_bearing	NumStability.Analysis.ResolventFunctionalCalculus	9
NumStability.Analysis.FunctionalCalculus.Resolvent.DunfordResidue	declaration_bearing	NumStability.Analysis.DunfordResidue	5
NumStability.Analysis.LinearOperators.Jordan.NormalForm.NilpotentChains	declaration_bearing	NumStability.Analysis.NilpotentJordanChain	29
NumStability.Analysis.LinearOperators.Jordan.NormalForm.PrimaryDecomposition	declaration_bearing	NumStability.Analysis.JordanNormalForm	30
NumStability.Analysis.LinearOperators.MatrixPowers.BaiDemmelGu.DistanceToInstability	declaration_bearing	NumStability.Analysis.MatrixPowersBaiDemmelGuDistance	33
NumStability.Analysis.LinearOperators.MatrixPowers.BaiDemmelGu.StabilityRadius	declaration_bearing	NumStability.Analysis.MatrixPowersBaiDemmelGu	19
NumStability.Analysis.LinearOperators.MatrixPowers.ExactNormBounds.Complex	declaration_bearing	NumStability.Algorithms.MatrixPowersComplex	9
NumStability.Analysis.LinearOperators.MatrixPowers.ExactNormBounds.Real	declaration_bearing	NumStability.Algorithms.MatrixPowers	2
NumStability.Analysis.LinearOperators.MatrixPowers.ExactNormBounds.Schur	declaration_bearing	NumStability.Analysis.MatrixPowersSchur	4
NumStability.Analysis.LinearOperators.MatrixPowers.ExactNormBounds.SpectralRadius	declaration_bearing	NumStability.Algorithms.MatrixPowersSpectral	7
NumStability.Analysis.LinearOperators.MatrixPowers.Gautschi.Bounds	declaration_bearing	NumStability.Analysis.MatrixPowersGautschi	1
NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.BinomialPowerBound	declaration_bearing	NumStability.Analysis.MatrixPowersBinomialBound	3
NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.DepartureFromNormality	declaration_bearing	NumStability.Analysis.MatrixPowersHenrici	21
NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.Extremal	declaration_bearing	NumStability.Analysis.HenriciExtremal	22
NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.ImprovedConstant	declaration_bearing	NumStability.Analysis.HenriciSharpConstant	13
NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.NormalMatrices	declaration_bearing	NumStability.Analysis.MatrixPowersHenriciNormal	1
NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.SharpConstant	declaration_bearing	NumStability.Analysis.HenriciSharpConstantExact	21
NumStability.Analysis.LinearOperators.MatrixPowers.JordanScaling.Complex	declaration_bearing	NumStability.Algorithms.MatrixPowersComplex	10
NumStability.Analysis.LinearOperators.MatrixPowers.JordanScaling.RealDiagonal	declaration_bearing	NumStability.Algorithms.MatrixPowers	23
NumStability.Analysis.LinearOperators.MatrixPowers.JordanScaling.RealJordan	declaration_bearing	NumStability.Algorithms.MatrixPowersJordan	16
NumStability.Analysis.LinearOperators.MatrixPowers.Kreiss.ResolventBound	declaration_bearing	NumStability.Analysis.MatrixPowersKreiss	20
