declaration	kind	visibility	historical_owner	destination_code	destination_module	tier	disposition
NumStability.BlockMethod1BSpec	inductive	public	NumStability.Algorithms.MatrixInversion	D06	NumStability.Algorithms.MatrixInversion.Triangular.Specifications.MatrixInversion	reusable	relocated
NumStability.BlockMethod1BSpec.block_count_le_dim	theorem	public	NumStability.Algorithms.MatrixInversion	D06	NumStability.Algorithms.MatrixInversion.Triangular.Specifications.MatrixInversion	reusable	relocated
NumStability.BlockMethod1BSpec.casesOn	definition	public	NumStability.Algorithms.MatrixInversion	D06	NumStability.Algorithms.MatrixInversion.Triangular.Specifications.MatrixInversion	reusable	relocated
NumStability.BlockMethod1BSpec.column_backward_error	theorem	public	NumStability.Algorithms.MatrixInversion	D06	NumStability.Algorithms.MatrixInversion.Triangular.Specifications.MatrixInversion	reusable	relocated
NumStability.BlockMethod1BSpec.lower_triangular_inverse	theorem	public	NumStability.Algorithms.MatrixInversion	D06	NumStability.Algorithms.MatrixInversion.Triangular.Specifications.MatrixInversion	reusable	relocated
NumStability.BlockMethod1BSpec.mk	constructor	public	NumStability.Algorithms.MatrixInversion	D06	NumStability.Algorithms.MatrixInversion.Triangular.Specifications.MatrixInversion	reusable	relocated
NumStability.BlockMethod1BSpec.rec	recursor	public	NumStability.Algorithms.MatrixInversion	D06	NumStability.Algorithms.MatrixInversion.Triangular.Specifications.MatrixInversion	reusable	relocated
NumStability.BlockMethod1BSpec.recOn	definition	public	NumStability.Algorithms.MatrixInversion	D06	NumStability.Algorithms.MatrixInversion.Triangular.Specifications.MatrixInversion	reusable	relocated
NumStability.Ch14Ext.Ch14Cor146ClosureMatrixFamilyIsBigOOne	definition	public	NumStability.Algorithms.Ch14Corollary146Closure	D14	NumStability.Source.Higham.Chapter14.Corollary06.SPD.Closure	source	relocated
NumStability.Ch14Ext.Ch14Cor146ClosureVectorFamilyIsBigOOne	definition	public	NumStability.Algorithms.Ch14Corollary146Closure	D14	NumStability.Source.Higham.Chapter14.Corollary06.SPD.Closure	source	relocated
NumStability.Ch14Ext.Ch14Cor146FinalizedRunFamily	inductive	public	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	D11	NumStability.Source.Higham.Chapter14.Algorithm04.Execution.GJEFinalDivisionClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146FinalizedRunFamily.R_inv	definition	public	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	D11	NumStability.Source.Higham.Chapter14.Algorithm04.Execution.GJEFinalDivisionClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146FinalizedRunFamily.casesOn	definition	public	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	D11	NumStability.Source.Higham.Chapter14.Algorithm04.Execution.GJEFinalDivisionClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146FinalizedRunFamily.computed_pivots_pos	theorem	public	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	D11	NumStability.Source.Higham.Chapter14.Algorithm04.Execution.GJEFinalDivisionClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146FinalizedRunFamily.ctorIdx	definition	public	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	D11	NumStability.Source.Higham.Chapter14.Algorithm04.Execution.GJEFinalDivisionClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146FinalizedRunFamily.exact_solution	theorem	public	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	D11	NumStability.Source.Higham.Chapter14.Algorithm04.Execution.GJEFinalDivisionClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146FinalizedRunFamily.exact_solution_nonzero	theorem	public	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	D11	NumStability.Source.Higham.Chapter14.Algorithm04.Execution.GJEFinalDivisionClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146FinalizedRunFamily.gamma_small	theorem	public	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	D11	NumStability.Source.Higham.Chapter14.Algorithm04.Execution.GJEFinalDivisionClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146FinalizedRunFamily.gje	definition	public	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	D11	NumStability.Source.Higham.Chapter14.Algorithm04.Execution.GJEFinalDivisionClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146FinalizedRunFamily.mk	constructor	public	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	D11	NumStability.Source.Higham.Chapter14.Algorithm04.Execution.GJEFinalDivisionClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146FinalizedRunFamily.mk.inj	theorem	public	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	D11	NumStability.Source.Higham.Chapter14.Algorithm04.Execution.GJEFinalDivisionClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146FinalizedRunFamily.mk.injEq	theorem	public	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	D11	NumStability.Source.Higham.Chapter14.Algorithm04.Execution.GJEFinalDivisionClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146FinalizedRunFamily.mk.noConfusion	definition	public	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	D11	NumStability.Source.Higham.Chapter14.Algorithm04.Execution.GJEFinalDivisionClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146FinalizedRunFamily.mk.sizeOf_spec	theorem	public	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	D11	NumStability.Source.Higham.Chapter14.Algorithm04.Execution.GJEFinalDivisionClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146FinalizedRunFamily.noConfusion	definition	public	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	D11	NumStability.Source.Higham.Chapter14.Algorithm04.Execution.GJEFinalDivisionClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146FinalizedRunFamily.noConfusionType	definition	public	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	D11	NumStability.Source.Higham.Chapter14.Algorithm04.Execution.GJEFinalDivisionClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146FinalizedRunFamily.rec	recursor	public	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	D11	NumStability.Source.Higham.Chapter14.Algorithm04.Execution.GJEFinalDivisionClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146FinalizedRunFamily.recOn	definition	public	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	D11	NumStability.Source.Higham.Chapter14.Algorithm04.Execution.GJEFinalDivisionClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146FinalizedRunFamily.scaled_upper_inverse	theorem	public	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	D11	NumStability.Source.Higham.Chapter14.Algorithm04.Execution.GJEFinalDivisionClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146FinalizedRunFamily.spd	theorem	public	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	D11	NumStability.Source.Higham.Chapter14.Algorithm04.Execution.GJEFinalDivisionClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146FinalizedRunFamily.symmetric_factor_relation	theorem	public	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	D11	NumStability.Source.Higham.Chapter14.Algorithm04.Execution.GJEFinalDivisionClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146FinalizedRunFamily.uniform_inverse	theorem	public	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	D11	NumStability.Source.Higham.Chapter14.Algorithm04.Execution.GJEFinalDivisionClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146SourceRunFamily	inductive	public	NumStability.Algorithms.Ch14Corollary146SourceClosure	D14	NumStability.Source.Higham.Chapter14.Corollary06.SPD.SourceClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146SourceRunFamily.R_inv	definition	public	NumStability.Algorithms.Ch14Corollary146SourceClosure	D14	NumStability.Source.Higham.Chapter14.Corollary06.SPD.SourceClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146SourceRunFamily.U_inv	definition	public	NumStability.Algorithms.Ch14Corollary146SourceClosure	D14	NumStability.Source.Higham.Chapter14.Corollary06.SPD.SourceClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146SourceRunFamily.U_inv_isBigO_one	theorem	public	NumStability.Algorithms.Ch14Corollary146SourceClosure	D14	NumStability.Source.Higham.Chapter14.Corollary06.SPD.SourceClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146SourceRunFamily.casesOn	definition	public	NumStability.Algorithms.Ch14Corollary146SourceClosure	D14	NumStability.Source.Higham.Chapter14.Corollary06.SPD.SourceClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146SourceRunFamily.computed_pivots_pos	theorem	public	NumStability.Algorithms.Ch14Corollary146SourceClosure	D14	NumStability.Source.Higham.Chapter14.Corollary06.SPD.SourceClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146SourceRunFamily.ctorIdx	definition	public	NumStability.Algorithms.Ch14Corollary146SourceClosure	D14	NumStability.Source.Higham.Chapter14.Corollary06.SPD.SourceClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146SourceRunFamily.exact_solution	theorem	public	NumStability.Algorithms.Ch14Corollary146SourceClosure	D14	NumStability.Source.Higham.Chapter14.Corollary06.SPD.SourceClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146SourceRunFamily.exact_solution_nonzero	theorem	public	NumStability.Algorithms.Ch14Corollary146SourceClosure	D14	NumStability.Source.Higham.Chapter14.Corollary06.SPD.SourceClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146SourceRunFamily.exact_upper_solve	theorem	public	NumStability.Algorithms.Ch14Corollary146SourceClosure	D14	NumStability.Source.Higham.Chapter14.Corollary06.SPD.SourceClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146SourceRunFamily.gamma_small	theorem	public	NumStability.Algorithms.Ch14Corollary146SourceClosure	D14	NumStability.Source.Higham.Chapter14.Corollary06.SPD.SourceClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146SourceRunFamily.gje	definition	public	NumStability.Algorithms.Ch14Corollary146SourceClosure	D14	NumStability.Source.Higham.Chapter14.Corollary06.SPD.SourceClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146SourceRunFamily.mk	constructor	public	NumStability.Algorithms.Ch14Corollary146SourceClosure	D14	NumStability.Source.Higham.Chapter14.Corollary06.SPD.SourceClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146SourceRunFamily.mk.inj	theorem	public	NumStability.Algorithms.Ch14Corollary146SourceClosure	D14	NumStability.Source.Higham.Chapter14.Corollary06.SPD.SourceClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146SourceRunFamily.mk.injEq	theorem	public	NumStability.Algorithms.Ch14Corollary146SourceClosure	D14	NumStability.Source.Higham.Chapter14.Corollary06.SPD.SourceClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146SourceRunFamily.mk.noConfusion	definition	public	NumStability.Algorithms.Ch14Corollary146SourceClosure	D14	NumStability.Source.Higham.Chapter14.Corollary06.SPD.SourceClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146SourceRunFamily.mk.sizeOf_spec	theorem	public	NumStability.Algorithms.Ch14Corollary146SourceClosure	D14	NumStability.Source.Higham.Chapter14.Corollary06.SPD.SourceClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146SourceRunFamily.noConfusion	definition	public	NumStability.Algorithms.Ch14Corollary146SourceClosure	D14	NumStability.Source.Higham.Chapter14.Corollary06.SPD.SourceClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146SourceRunFamily.noConfusionType	definition	public	NumStability.Algorithms.Ch14Corollary146SourceClosure	D14	NumStability.Source.Higham.Chapter14.Corollary06.SPD.SourceClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146SourceRunFamily.rec	recursor	public	NumStability.Algorithms.Ch14Corollary146SourceClosure	D14	NumStability.Source.Higham.Chapter14.Corollary06.SPD.SourceClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146SourceRunFamily.recOn	definition	public	NumStability.Algorithms.Ch14Corollary146SourceClosure	D14	NumStability.Source.Higham.Chapter14.Corollary06.SPD.SourceClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146SourceRunFamily.scaled_upper_inverse	theorem	public	NumStability.Algorithms.Ch14Corollary146SourceClosure	D14	NumStability.Source.Higham.Chapter14.Corollary06.SPD.SourceClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146SourceRunFamily.spd	theorem	public	NumStability.Algorithms.Ch14Corollary146SourceClosure	D14	NumStability.Source.Higham.Chapter14.Corollary06.SPD.SourceClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146SourceRunFamily.symmetric_factor_relation	theorem	public	NumStability.Algorithms.Ch14Corollary146SourceClosure	D14	NumStability.Source.Higham.Chapter14.Corollary06.SPD.SourceClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146SourceRunFamily.uniform_inverse	theorem	public	NumStability.Algorithms.Ch14Corollary146SourceClosure	D14	NumStability.Source.Higham.Chapter14.Corollary06.SPD.SourceClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146SourceRunFamily.upper_inverse	theorem	public	NumStability.Algorithms.Ch14Corollary146SourceClosure	D14	NumStability.Source.Higham.Chapter14.Corollary06.SPD.SourceClosure	source	relocated
NumStability.Ch14Ext.Ch14Cor146SourceRunFamily.z	definition	public	NumStability.Algorithms.Ch14Corollary146SourceClosure	D14	NumStability.Source.Higham.Chapter14.Corollary06.SPD.SourceClosure	source	relocated
