declaration	visibility	historical_owner	reason
NumStability.Ch14Ext.Ch14Problem142Method1BFamilyDerivation.right_residual_family	public	NumStability.Algorithms.Ch14Problem142Families	in the pinned reverse closure
NumStability.Ch14Ext.Ch14Problem142Method2CFamilyDerivation.left_residual_family	public	NumStability.Algorithms.Ch14Problem142Families	in the pinned reverse closure
NumStability.Ch14Ext.Higham14Problem142Method1BDerivation.right_residual_firstOrder	public	NumStability.Algorithms.Ch14Problem142	in the pinned reverse closure
NumStability.Ch14Ext.Higham14Problem142Method2CDerivation.left_residual_firstOrder	public	NumStability.Algorithms.Ch14Problem142	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor146FinalizedForwardAbsoluteRemainder_family_isBigO_u_sq	public	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor146FinalizedForwardRelativeRemainder_family_isBigO_u_sq	public	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor146FinalizedForwardTerminal_family_isBigO_u_sq	public	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor146FinalizedResidualExactNormCorrection_family_isBigO_u_sq	public	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor146FinalizedResidualPrintedRemainder_family_isBigO_u_sq	public	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor146FinalizedResidualRemainder_family_isBigO_u_sq	public	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor146FinalizedResidualTerminal_family_isBigO_u_sq	public	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor146FinalizedRunFamily_of_computedFactors	public	NumStability.Algorithms.Ch14Cor146UniformInverseBridge	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor146Finalized_output_error_family_isBigO_u	public	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor146Finalized_vanishing_family_endpoint	public	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor146_uniformInverseRegularity_of_finalizedGJE	public	NumStability.Algorithms.Ch14Cor146UniformInverseBridge	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147FinalizedForwardPrintedRemainder_family_isBigO_u_sq	public	NumStability.Algorithms.Ch14Cor147FinalDivisionFamilyClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147FinalizedForwardRelativeRemainder_family_isBigO_u_sq	public	NumStability.Algorithms.Ch14Cor147FinalDivisionFamilyClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147FinalizedForwardRelativeTerminal_family_isBigO_u_sq	public	NumStability.Algorithms.Ch14Cor147FinalDivisionFamilyClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147FinalizedForwardVectorRemainder_family_isBigO_u_sq	public	NumStability.Algorithms.Ch14Cor147FinalDivisionFamilyClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147FinalizedResidualLeadingCorrection_family_isBigO_u	public	NumStability.Algorithms.Ch14Cor147FinalDivisionFamilyClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147FinalizedResidualRemainder_family_isBigO_u_sq	public	NumStability.Algorithms.Ch14Cor147FinalDivisionFamilyClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147Finalized_factorProximity_isBigO	public	NumStability.Algorithms.Ch14Cor147FinalDivisionFamilyClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147Finalized_forwardCore_difference_isBigO	public	NumStability.Algorithms.Ch14Cor147FinalDivisionFamilyClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147Finalized_forwardT1_difference_isBigO	public	NumStability.Algorithms.Ch14Cor147FinalDivisionFamilyClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147Finalized_forwardT2_difference_isBigO	public	NumStability.Algorithms.Ch14Cor147FinalDivisionFamilyClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147Finalized_forward_bound	public	NumStability.Algorithms.Ch14Cor147FinalDivisionFamilyClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147Finalized_forward_printed_bound_of_coefficient_lt_one	public	NumStability.Algorithms.Ch14Cor147FinalDivisionFamilyClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147Finalized_forward_printed_eventually	public	NumStability.Algorithms.Ch14Cor147FinalDivisionFamilyClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147Finalized_forward_vanishing_family_endpoint	public	NumStability.Algorithms.Ch14Cor147FinalDivisionFamilyClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147Finalized_inverseProximity_isBigO	public	NumStability.Algorithms.Ch14Cor147FinalDivisionFamilyClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147Finalized_printedResidualLeading_difference_isBigO	public	NumStability.Algorithms.Ch14Cor147FinalDivisionFamilyClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147Finalized_printedX_difference_isBigO	public	NumStability.Algorithms.Ch14Cor147FinalDivisionFamilyClosure	in the pinned reverse closure
