module	path	role
NumStability.Algorithms.HighamChapter9	NumStability/Algorithms/HighamChapter9.lean	candidate_production
NumStability.Algorithms.HighamChapter9CompletePivotSharpClosure	NumStability/Algorithms/HighamChapter9CompletePivotSharpClosure.lean	candidate_production
NumStability.Algorithms.HighamChapter9ComplexClosure	NumStability/Algorithms/HighamChapter9ComplexClosure.lean	candidate_production
NumStability.Algorithms.HighamChapter9ComputedCorrection	NumStability/Algorithms/HighamChapter9ComputedCorrection.lean	candidate_production
NumStability.Algorithms.HighamChapter9DoolittleClosure	NumStability/Algorithms/HighamChapter9DoolittleClosure.lean	candidate_production
NumStability.Algorithms.HighamChapter9Theorem914Actual	NumStability/Algorithms/HighamChapter9Theorem914Actual.lean	candidate_production
NumStability.Algorithms.HighamChapter9Theorem914DiagDominant	NumStability/Algorithms/HighamChapter9Theorem914DiagDominant.lean	candidate_production
NumStability.Algorithms.HighamChapter9Theorem914Primitive	NumStability/Algorithms/HighamChapter9Theorem914Primitive.lean	candidate_production
NumStability.Algorithms.HighamChapter9Theorem97Classification	NumStability/Algorithms/HighamChapter9Theorem97Classification.lean	candidate_production
NumStability.Algorithms.HighamChapter9Theorem99Closure	NumStability/Algorithms/HighamChapter9Theorem99Closure.lean	candidate_production
NumStability.Algorithms.HighamChapter9Theorem99ComplexClosure	NumStability/Algorithms/HighamChapter9Theorem99ComplexClosure.lean	candidate_production
