module	path	git_blob	source_sha256	source_lines	format2_declarations	authored_roots	ilean_sha256	ilean_bytes
NumStability.Algorithms.HighamChapter11	NumStability/Algorithms/HighamChapter11.lean	e4c7dcd9e5d2f5ce906472764da6184375cf1093	8C83570770A28CEE7CB5F55DFC93281E6205B2E52F8FEFFB440EB6D372F5251F	137119	4512	4478	9BE7386D7C8E5060368C0448D76427CA9AE4320E94AB15A520663E6013CB58CB	22530521
NumStability.Algorithms.Cholesky.Aasen118ReducedCh11Closure	NumStability/Algorithms/Cholesky/Aasen118ReducedCh11Closure.lean	d7e3343bf65daa85f8f5340587af2cc58ca85462	BB42639ECA2D27B188A50A5986C36C45BE71CBCBF650E06769554FDB1BA88DE6	262	1	1	BE1B8BB10E1F5DA097BE22BE518327726A29FE49EE6228B3F440FC56F8AD8AB7	37338
NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability/Algorithms/Cholesky/AasenAdjacentPivotOperationalMiddleCh11.lean	cb6b4ef4bbf109c0ad1fcdff6ec329f420e76631	607411E314D0F635AE34AD0DED756BD287FD0727959085530820E738940028EA	1229	53	53	1286F79A688BAE36C8E106725293D8A96D9ABAE13CE5F50077A2D4B0B4FE7064	182939
NumStability.Algorithms.Cholesky.AasenAdjacentPivotResidualDomainCh11Discrepancy	NumStability/Algorithms/Cholesky/AasenAdjacentPivotResidualDomainCh11Discrepancy.lean	43b0bc0789426c6d5553bc24fef17aac479f6369	B647CE8C7B5C35E153F82082FE2E518BCF5666B0BDDB94A829D7621211586CDB	158	10	10	251AFEE936DE8F80D631C28D109694754DABCEB9940792029BD6BC16FE677FC2	22037
NumStability.Algorithms.Cholesky.AasenAdjacentPivotSourceResidualCh11Closure	NumStability/Algorithms/Cholesky/AasenAdjacentPivotSourceResidualCh11Closure.lean	760c7889d329a2c41e22e0bb928fa219e9149bf7	42A05A4C875BA505C8D93BAE74241BC2E2BC96EDAAE6B8DA15220A31A64A7A4D	432	10	10	99707C89D25AE37875B97237124E4A8BA04B492BD482E4A79C6470182F20D40C	69026
NumStability.Algorithms.Cholesky.AasenAdjacentPivotTridiagExecutorCh11Closure	NumStability/Algorithms/Cholesky/AasenAdjacentPivotTridiagExecutorCh11Closure.lean	6b94ae572d2ef63276425776151b34b123e085d5	7F99318308C99AC62CB077AC1AE791C56889852E90EBBE4FC16905C72E8FA488	796	73	56	24AF6E1E9B8FFE4734732713F1C3116EC99A138F7C15620002C1F62F083CD7F0	107351
NumStability.Algorithms.Cholesky.AasenAdjacentPivotTridiagForwardCounterexampleCh11	NumStability/Algorithms/Cholesky/AasenAdjacentPivotTridiagForwardCounterexampleCh11.lean	f4f6802b00f1abcbc51f074a49463c77c29edb49	67ABA643874BBFB570EEF16A852098D6EF9EBEF83EF804077AEC5AE950917BA8	265	38	38	A4E2F750C01398940A06156C7BA7E5AFE6E5B30CD08EDBB72863A26AF35D5425	48342
NumStability.Algorithms.Cholesky.AasenCoupledFpCh11Closure	NumStability/Algorithms/Cholesky/AasenCoupledFpCh11Closure.lean	104ce1fa60be0d440a737909fbe8924d998d1144	E8C4DCE03A010C3181106564617A56DEC8EE8C7D8AE0BFBE47BE07E9DBC1DC2E	665	65	51	5B7074C36638258D7EED3C72B571F36E4B841F8F00793BE317242DFA4738431D	100590
NumStability.Algorithms.Cholesky.AasenDirect118Ch11Closure	NumStability/Algorithms/Cholesky/AasenDirect118Ch11Closure.lean	65c614288bcf457711ca9923dd07d38b822dfd63	C6BD8D26FC1E5065D0CE143AD492E592C7EA8CD89CACD15F9ABF35422C0C47D4	436	4	4	FE6CD1B529E5EFE21142688476B9BCD4F8ECB8325E1EE7FD2D4F53CB182E38D3	57850
NumStability.Algorithms.Cholesky.AasenDirectTridiagGEPPSolveCh11Closure	NumStability/Algorithms/Cholesky/AasenDirectTridiagGEPPSolveCh11Closure.lean	862e4a2426b4c4f0e93d8f92b784f3c081183638	5D5290AE096405B4030AA7EC4A5FFE583EF7D606F387643C9D2F18A9793E7DDD	475	10	10	7E9EF5488A395E4EB51E3911E82D15468896BC9BBB0F02B01C86592C9E998504	87565
