format	1
NumStability.Ch11Closure.Aasen118Reduced.higham11_8_aasen_normwise_backward_error_of_reduced	NumStability.Algorithms.Cholesky.Aasen118ReducedCh11Closure	NumStability.Source.Higham.Chapter11.Section02.Aasen.ReducedResidual	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.aasenDirectMiddleBudget_of_canonical_residual	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.aasenDirectMiddleBudget_of_sparse_residual	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.dgttrfActiveNextResidual	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	definition	public
NumStability.Ch11Closure.AasenAdjacentOperational.dgttrfActivePivotResidual	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	definition	public
NumStability.Ch11Closure.AasenAdjacentOperational.dgttrfNoSwap_combined_residual_identity	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.dgttrfPermEquivRun_congr_prefix	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.dgttrfSwap_combined_residual_identity	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.dgttrfUpperNextResidual	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	definition	public
NumStability.Ch11Closure.AasenAdjacentOperational.dgttrfUpperNextResidual_eq_activePivotResidual_of_du2_eq_zero	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.dgttrfUpperPivotResidual	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	definition	public
NumStability.Ch11Closure.AasenAdjacentOperational.dgttrsMaxSolutionIndex	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	definition	public
NumStability.Ch11Closure.AasenAdjacentOperational.dgttrsMaxSolutionIndex_ne_zero_of_ne_zero	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.dgttrsMaxSolutionIndex_spec	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.dgttrsResidualBudget	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	definition	public
NumStability.Ch11Closure.AasenAdjacentOperational.dgttrsResidualBudget_eq_of_ne_zero	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.dgttrsResidualBudget_infNorm_le_n_mul_of_sourceResidual_absSum_bound	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.dgttrsResidualCorrection	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	definition	public
NumStability.Ch11Closure.AasenAdjacentOperational.dgttrsSolutionAbsSum	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	definition	public
NumStability.Ch11Closure.AasenAdjacentOperational.dgttrsSolutionSq	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	definition	public
NumStability.Ch11Closure.AasenAdjacentOperational.dgttrsSourceResidual	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	definition	public
NumStability.Ch11Closure.AasenAdjacentOperational.dgttrsSparseResidualBudget	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	definition	public
NumStability.Ch11Closure.AasenAdjacentOperational.dgttrsSparseResidualBudget_infNorm_le_of_sourceResidual_infNorm_bound	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.dgttrsSparseResidualCorrection	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	definition	public
NumStability.Ch11Closure.AasenAdjacentOperational.flDGTTRFMultiplier_abs_le_one_add_u	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.flDGTTRFRun_current_du2_eq_zero	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.flDGTTRFRun_dl_eq_after_stage	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.flDGTTRFRun_du2_eq_zero_of_steps_le_val	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.flDGTTRFRun_ipiv_eq_after_stage	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.flDGTTRFRun_perm_eq_dgttrfPermEquivRun	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.flDGTTRFStepAt_dl_abs_le_one_add_u	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.flDGTTRFStepAt_dl_of_ne	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.flDGTTRFStepAt_du2_of_ne	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.flDGTTRFStepAt_ipiv_of_ne	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.flDGTTRF_dl_abs_le_one_add_u	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.flDGTTRF_final_pivot_data_eq_stage	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.flDGTTRF_noSwap_combined_local_error_bounds	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.flDGTTRF_noSwap_combined_source_row_identity	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.flDGTTRF_perm_eq_dgttrfPermEquiv	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.flDGTTRF_swap_combined_local_error_bounds	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.flDGTTRF_swap_combined_source_row_identity	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.flDGTTRSForwardRun_eq_zero_imp	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.flDGTTRSForwardStepAt_eq_of_pivot_data	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.flDGTTRSForwardStepAt_eq_zero_imp	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.flDGTTRSForwardStepAt_final_eq_factor_stage	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.flDGTTRSForward_eq_zero_imp	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.flDGTTRS_eq_zero_imp_rhs_eq_zero	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	public
NumStability.Ch11Closure.AasenAdjacentOperational.higham11_8_aasen_backward_error_direct_of_actual_dgttrs_budget_norm	NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability.Source.Higham.Chapter11.Section02.Aasen.AdjacentPivot.OperationalMiddle	theorem	public
