module	path	exclusion_owner	rationale
NumStability.Algorithms.LU.BlockLU	NumStability/Algorithms/LU/BlockLU.lean	blocklu-ch13	active integrator-owned BlockLU/Chapter 13 migration
NumStability.Algorithms.LU.BlockLUArbitraryNormSourceClosure	NumStability/Algorithms/LU/BlockLUArbitraryNormSourceClosure.lean	blocklu-ch13	active integrator-owned BlockLU/Chapter 13 migration
NumStability.Algorithms.LU.BlockLUComputationSourceClosure	NumStability/Algorithms/LU/BlockLUComputationSourceClosure.lean	blocklu-ch13	active integrator-owned BlockLU/Chapter 13 migration
NumStability.Algorithms.LU.BlockLUFirstOrderFamilies	NumStability/Algorithms/LU/BlockLUFirstOrderFamilies.lean	blocklu-ch13	active integrator-owned BlockLU/Chapter 13 migration
NumStability.Algorithms.LU.BlockLUPointRowGrowthSourceClosure	NumStability/Algorithms/LU/BlockLUPointRowGrowthSourceClosure.lean	blocklu-ch13	active integrator-owned BlockLU/Chapter 13 migration
NumStability.Algorithms.LU.BlockLURowSourceClosure	NumStability/Algorithms/LU/BlockLURowSourceClosure.lean	blocklu-ch13	active integrator-owned BlockLU/Chapter 13 migration
NumStability.Algorithms.LU.BlockLUSPDFamilies	NumStability/Algorithms/LU/BlockLUSPDFamilies.lean	blocklu-ch13	active integrator-owned BlockLU/Chapter 13 migration
NumStability.Algorithms.LU.BlockLUSPDSourceClosure	NumStability/Algorithms/LU/BlockLUSPDSourceClosure.lean	blocklu-ch13	active integrator-owned BlockLU/Chapter 13 migration
NumStability.Algorithms.LU.BlockLUScalarGrowthBridge	NumStability/Algorithms/LU/BlockLUScalarGrowthBridge.lean	blocklu-ch13	active integrator-owned BlockLU/Chapter 13 migration
NumStability.Algorithms.LU.BlockLUSourceClosure	NumStability/Algorithms/LU/BlockLUSourceClosure.lean	blocklu-ch13	active integrator-owned BlockLU/Chapter 13 migration
NumStability.Algorithms.LU.BlockLUVarying	NumStability/Algorithms/LU/BlockLUVarying.lean	blocklu-ch13	active integrator-owned BlockLU/Chapter 13 migration
NumStability.Algorithms.LeastSquares.Higham20Algorithms	NumStability/Algorithms/LeastSquares/Higham20Algorithms.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.Higham20AlternativeBound	NumStability/Algorithms/LeastSquares/Higham20AlternativeBound.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.Higham20CrossProductExample	NumStability/Algorithms/LeastSquares/Higham20CrossProductExample.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.Higham20EliminationActual	NumStability/Algorithms/LeastSquares/Higham20EliminationActual.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.Higham20Equations	NumStability/Algorithms/LeastSquares/Higham20Equations.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.Higham20ExampleCondition	NumStability/Algorithms/LeastSquares/Higham20ExampleCondition.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.Higham20GeneralWedin	NumStability/Algorithms/LeastSquares/Higham20GeneralWedin.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.Higham20Lemma20_11	NumStability/Algorithms/LeastSquares/Higham20Lemma20_11.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.Higham20Lemma20_12	NumStability/Algorithms/LeastSquares/Higham20Lemma20_12.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.Higham20MGSStability	NumStability/Algorithms/LeastSquares/Higham20MGSStability.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.Higham20MPProse	NumStability/Algorithms/LeastSquares/Higham20MPProse.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.Higham20MinimumNormBackwardError	NumStability/Algorithms/LeastSquares/Higham20MinimumNormBackwardError.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.Higham20NormalEquationsNorms	NumStability/Algorithms/LeastSquares/Higham20NormalEquationsNorms.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.Higham20Problem20_3	NumStability/Algorithms/LeastSquares/Higham20Problem20_3.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.Higham20Prose	NumStability/Algorithms/LeastSquares/Higham20Prose.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.Higham20QuantitativeProse	NumStability/Algorithms/LeastSquares/Higham20QuantitativeProse.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.Higham20Refinement	NumStability/Algorithms/LeastSquares/Higham20Refinement.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.Higham20Remaining	NumStability/Algorithms/LeastSquares/Higham20Remaining.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.Higham20ResidualQuality	NumStability/Algorithms/LeastSquares/Higham20ResidualQuality.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.Higham20RowSorting	NumStability/Algorithms/LeastSquares/Higham20RowSorting.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.Higham20Theorem20_10	NumStability/Algorithms/LeastSquares/Higham20Theorem20_10.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.Higham20Theorem20_3	NumStability/Algorithms/LeastSquares/Higham20Theorem20_3.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.Higham20Theorem20_4Absorption	NumStability/Algorithms/LeastSquares/Higham20Theorem20_4Absorption.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.Higham20Theorem20_7	NumStability/Algorithms/LeastSquares/Higham20Theorem20_7.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.Higham20Theorem20_7ActualAssembly	NumStability/Algorithms/LeastSquares/Higham20Theorem20_7ActualAssembly.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.Higham20Theorem20_7ActualBackSub	NumStability/Algorithms/LeastSquares/Higham20Theorem20_7ActualBackSub.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.Higham20Theorem20_7ActualClosure	NumStability/Algorithms/LeastSquares/Higham20Theorem20_7ActualClosure.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.Higham20Theorem20_7ActualGrowth	NumStability/Algorithms/LeastSquares/Higham20Theorem20_7ActualGrowth.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.Higham20Theorem20_7ActualRhs	NumStability/Algorithms/LeastSquares/Higham20Theorem20_7ActualRhs.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.Higham20Theorem20_7ActualTrace	NumStability/Algorithms/LeastSquares/Higham20Theorem20_7ActualTrace.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.Higham20Theorem20_7Contract	NumStability/Algorithms/LeastSquares/Higham20Theorem20_7Contract.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.Higham20Theorem20_7QdR	NumStability/Algorithms/LeastSquares/Higham20Theorem20_7QdR.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.Higham20Theorem20_7Runtime	NumStability/Algorithms/LeastSquares/Higham20Theorem20_7Runtime.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.Higham20Theorem20_7SourceTrace	NumStability/Algorithms/LeastSquares/Higham20Theorem20_7SourceTrace.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.Higham20Theorem20_8	NumStability/Algorithms/LeastSquares/Higham20Theorem20_8.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.Higham20WeightedLimit	NumStability/Algorithms/LeastSquares/Higham20WeightedLimit.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.Higham20ZeroDeltaB	NumStability/Algorithms/LeastSquares/Higham20ZeroDeltaB.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.LSE	NumStability/Algorithms/LeastSquares/LSE.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.LSNormalEquations	NumStability/Algorithms/LeastSquares/LSNormalEquations.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.LSPerturbation	NumStability/Algorithms/LeastSquares/LSPerturbation.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.LeastSquares.LSQRSolve	NumStability/Algorithms/LeastSquares/LSQRSolve.lean	lsq-ch20	active local least-squares/Chapter 20 implementation lane
NumStability.Algorithms.MatrixPowers	NumStability/Algorithms/MatrixPowers.lean	preserved-ch18	preserved earlier Chapter 18 work; integrator audits before reuse
NumStability.Algorithms.MatrixPowersComplex	NumStability/Algorithms/MatrixPowersComplex.lean	preserved-ch18	preserved earlier Chapter 18 work; integrator audits before reuse
NumStability.Algorithms.MatrixPowersJordan	NumStability/Algorithms/MatrixPowersJordan.lean	preserved-ch18	preserved earlier Chapter 18 work; integrator audits before reuse
NumStability.Algorithms.MatrixPowersLp	NumStability/Algorithms/MatrixPowersLp.lean	preserved-ch18	preserved earlier Chapter 18 work; integrator audits before reuse
NumStability.Algorithms.MatrixPowersLpJordan	NumStability/Algorithms/MatrixPowersLpJordan.lean	preserved-ch18	preserved earlier Chapter 18 work; integrator audits before reuse
NumStability.Algorithms.MatrixPowersPseudospectral	NumStability/Algorithms/MatrixPowersPseudospectral.lean	preserved-ch18	preserved earlier Chapter 18 work; integrator audits before reuse
NumStability.Algorithms.MatrixPowersPseudospectralCriterion	NumStability/Algorithms/MatrixPowersPseudospectralCriterion.lean	preserved-ch18	preserved earlier Chapter 18 work; integrator audits before reuse
