declaration	owner_module	destination_module	visibility	kind
NumStability.IsNormalizedOrthogonalHaarLaw	NumStability.Algorithms.TestMatrices.Higham28Probability	NumStability.Analysis.Probability.Haar.NormalizedOrthogonalMatrixLaw	public	definition
NumStability.Polynomial.negOnePow_card_roots_lt_mul_abs_eval	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRank	NumStability.Analysis.Polynomials.RealRootCounting	public	theorem
NumStability.RealGinibreExpectedCountLimit	NumStability.Algorithms.TestMatrices.Higham28Probability	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.ProbabilityLaw.ProductLaw	public	definition
NumStability.RealGinibreFiniteExpectationFormula	NumStability.Algorithms.TestMatrices.Higham28Ginibre	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.FiniteExpectation.ClosedFormAsymptotics	public	definition
NumStability.StewartTheorem28_1HaarConclusion	NumStability.Algorithms.TestMatrices.Higham28Stewart	NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.HaarConclusion	public	definition
NumStability.UniformPositivePerronAlmostSure	NumStability.Algorithms.TestMatrices.Higham28Probability	NumStability.Source.Higham.Chapter28.Section02.UniformPositive.PerronAlmostSure	public	definition
NumStability.abs_ginibreHypergeometricTerm_succ_le	NumStability.Algorithms.TestMatrices.Higham28Ginibre	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.FiniteExpectation.ClosedFormAsymptotics	public	theorem
NumStability.abs_ginibreHypergeometricTerm_succ_le_half	NumStability.Algorithms.TestMatrices.Higham28Ginibre	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.FiniteExpectation.ClosedFormAsymptotics	public	theorem
NumStability.abs_realGinibre_hypergeometric_sub_one_le	NumStability.Algorithms.TestMatrices.Higham28Ginibre	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.FiniteExpectation.ClosedFormAsymptotics	public	theorem
NumStability.ae_ginibreRegularFiberMultiplicity_eq_realEigenvalueCount	NumStability.Algorithms.TestMatrices.Higham28GinibreIntegral	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.ExpectedCountTransfer	public	theorem
NumStability.ae_linearIndependent_standardGaussianColumns	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.QRFactorHaar	public	theorem
NumStability.ae_linearIndependent_standardGaussianColumns_aux	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.QRFactorHaar	public	theorem
NumStability.aestronglyMeasurable_realEigenvalueCount	NumStability.Algorithms.TestMatrices.Higham28GinibreRoots	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.RootMeasurability.EigenvalueCounts	public	theorem
NumStability.analyticSet_complexRootTupleBelowCountProjection	NumStability.Algorithms.TestMatrices.Higham28GinibreRoots	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.RootMeasurability.EigenvalueCounts	public	theorem
NumStability.analyticSet_complexRootTupleCountProjection	NumStability.Algorithms.TestMatrices.Higham28GinibreRoots	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.RootMeasurability.EigenvalueCounts	public	theorem
