path	packet_id	stage	operation
NumStability/Source/Higham/Chapter02/Problem09/DoubleRounding/Counterexample.lean	R0014	implementation	modify
NumStability/Source/Higham/Chapter02/Problem09/DoubleRounding/Counterexample/Inputs.lean	R0014	implementation	add
NumStability/Source/Higham/Chapter02/Problem09/DoubleRounding/Counterexample/Results.lean	R0014	implementation	modify
NumStability/Source/Higham/Chapter19/Core.lean	R0015	implementation	modify
NumStabilityTest.lean	R0014	implementation	modify
NumStabilityTest/Reorganization/I01/Aggregate/NumStability_Algorithms_NormEstimation_PNorm_All.lean	R0014	implementation	add
NumStabilityTest/Reorganization/I01/Aggregate/NumStability_Source_Higham_Chapter02_Problem09_DoubleRounding_Counterexample.lean	R0014	implementation	add
NumStabilityTest/Reorganization/I01/All.lean	R0014	implementation	add
NumStabilityTest/Reorganization/I01/Canonical/NumStability_Source_Higham_Chapter02_Problem09_DoubleRounding_Counterexample_Inputs.lean	R0014	implementation	add
NumStabilityTest/Reorganization/I01/Canonical/NumStability_Source_Higham_Chapter17_Results_Series.lean	R0014	implementation	add
NumStabilityTest/Reorganization/I01/OldOnly/NumStability_Analysis_DoubleRounding.lean	R0014	implementation	add
docs/architecture/layout-exceptions.json	R0014	implementation	modify
docs/architecture/phases/2026-08-repository-reorganization-completion/reviews/C0007-bounded-epoch-authorized-paths.tsv	CONT01	continuation_control	modify
docs/architecture/phases/2026-08-repository-reorganization-completion/reviews/C0007-bounded-epoch-operator-authorization.json	CONT01	continuation_control	modify
docs/architecture/phases/2026-08-repository-reorganization-completion/reviews/C0007-bounded-planned-control.json	CONT01	continuation_control	modify
docs/architecture/phases/2026-08-repository-reorganization-completion/reviews/C0008-supported-api.json	CONT01	continuation_control	modify
docs/architecture/supported-api.json	CONT01	continuation_control	modify
docs/architecture/tiers.json	R0014	implementation	modify
tools/architecture/check_compatibility.py	R0015	implementation	modify
tools/architecture/check_completion_phase.py	CONT01	continuation_control	modify
tools/architecture/check_supported_api.py	CONT01	continuation_control	modify
