module	path	blob_oid	sha256	downstream_test
NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic	NumStability/Algorithms/LinearSystems/LeastSquares/Equality/Basic.lean	9dca9e8a5133369dfd0881bbb01b177eb4693b0c	CB37AD2EF2AB9C59BF3201CDB66D355D749363DF57A0B505F797762ED0B6D024	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Algorithms_LinearSystems_LeastSquares_Equality_Basic.lean
NumStability.Algorithms.LinearSystems.Underdetermined.MinimumNorm.Solvers.Executor.Core	NumStability/Algorithms/LinearSystems/Underdetermined/MinimumNorm/Solvers/Executor/Core.lean	50351ed8e843ddaa290c31d1916aa49eea725bd3	35A2FF148E5576B9050254DD29AF15E98CCAD36BC16A85172B17F6EA370681D5	NumStabilityTest/Reorganization/R05/Canonical/NumStability_Algorithms_LinearSystems_Underdetermined_MinimumNorm_Solvers_Executor_Core.lean
NumStability.Algorithms.QR.Higham19	NumStability/Algorithms/QR/Higham19.lean	3758578224a43e2593440643fa402ac7c3ed3802	399B79594AA4E376D6FF6FE7FC2081282FC67B05185D49772A81BCFA095DFC3D	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Algorithms_QR_Higham19.lean
NumStability.Algorithms.Sylvester.Higham16Eq9Assembly	NumStability/Algorithms/Sylvester/Higham16Eq9Assembly.lean	c299a7d5afe95adb1bd2bd2c1061bee22ca94946	A94C1F9817AA67BFC90C1DA1B9E08F24DB148A32EB54C5DB0771A0C3732C0A5B	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Algorithms_Sylvester_Higham16Eq9Assembly.lean
NumStability.Analysis.Perturbation.LeastSquares.Equality.MixedStability	NumStability/Analysis/Perturbation/LeastSquares/Equality/MixedStability.lean	1047c146512b99eba2520e21ca10f7a619c8b362	099D5B7931B243AE7D7C806890D5D2DC5077C06BD73DCE2C1F38633A3EF5CF41	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Analysis_Perturbation_LeastSquares_Equality_MixedStability.lean
NumStability.Analysis.Perturbation.LeastSquares.Equality.RowwiseBackwardError	NumStability/Analysis/Perturbation/LeastSquares/Equality/RowwiseBackwardError.lean	555fca2f88affb64f1de9862bf9ba25424b75c9f	53310885BA9152143B90ED5E2B0DA1AC619CD03422326CE24AE8CF894B53F8EC	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Analysis_Perturbation_LeastSquares_Equality_RowwiseBackwardError.lean
NumStability.Source.Higham.Chapter16.Section02.BartelsStewart.Equation09.Assembly	NumStability/Source/Higham/Chapter16/Section02/BartelsStewart/Equation09/Assembly.lean	6ea6f928965f48505eb68aa5a464ff55dd0f9610	663351018B4B9EDAD24AB3CEAE27DD36E2B5604EA993B036F485A4845A5C78AC	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter16_Section02_BartelsStewart_Equation09_Assembly.lean
NumStability.Source.Higham.Chapter19	NumStability/Source/Higham/Chapter19.lean	0719fb26012eb2d84d06ee258ae7acc0691a3ffc	2B36DDB365F8662A7C67E16F1C355BD874FB1CEDACD9CC77F40D016881110375	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter19.lean
NumStability.Source.Higham.Chapter19.Theorem06.Elementwise	NumStability/Source/Higham/Chapter19/Theorem06/Elementwise.lean	3ef7388b96075447665d26f75a30c0de2631ce59	70BAE6E54273CBC100115314A640A105E72532CFAF63ACEC51AFCAD9DAEF009A	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter19_Theorem06_Elementwise.lean
NumStability.Source.Higham.Chapter19.Theorem06.Pivoted	NumStability/Source/Higham/Chapter19/Theorem06/Pivoted.lean	e75557825e16b1bbaf45bb27cb73b3df4e3da95a	3844B5F8661A911380BC41919DA4A555112E2016AF1403F15B3F00B7923A5D8C	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter19_Theorem06_Pivoted.lean
NumStability.Source.Higham.Chapter19.Theorem10.ActualMatrix	NumStability/Source/Higham/Chapter19/Theorem10/ActualMatrix.lean	3baacb81ae398f886ddcfe613a819059a44d043e	62B68D4FD51D8F0647FF5042BA52F6E6DFB7CDF820029ED8EBF5757B91C3A00E	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter19_Theorem10_ActualMatrix.lean
NumStability.Source.Higham.Chapter20.Problem05.MGSStability	NumStability/Source/Higham/Chapter20/Problem05/MGSStability.lean	4a7f7fcbbc638b4aa9a2b1844d1865bde7707cbe	B6949F346E1D1649001D3E0F49F1923F329A8AB8E74E736D4BECDBF7B2AD7BEB	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter20_Problem05_MGSStability.lean
NumStability.Source.Higham.Chapter20.Theorem03.Core.Results	NumStability/Source/Higham/Chapter20/Theorem03/Core/Results.lean	a05a7712fce09eb32af4c0ba5f0b09ef5f0c8950	DCE1E2FA6B03816BFFDA08D4779652F43733D38812DF9C4ED1DF66096AE2677F	NumStabilityTest/Reorganization/R05/Canonical/NumStability_Source_Higham_Chapter20_Theorem03_Core_Results.lean
NumStability.Source.Higham.Chapter20.Theorem03.ZeroDeltaB	NumStability/Source/Higham/Chapter20/Theorem03/ZeroDeltaB.lean	590379ea50ba56eb9ecbf015b643a4e8e4333d07	EFEC4233F5DA43C45AC813F0167D0A7230B8C19849FA4A5BB41E000974ED873D	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter20_Theorem03_ZeroDeltaB.lean
NumStability.Source.Higham.Chapter20.Theorem10	NumStability/Source/Higham/Chapter20/Theorem10.lean	c0e1bbdf79930b8f62c8673b9a68430be8f49504	01769EB8E2407BC795355E8665E30C58638A53188151D1443B810D676C58C8D0	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter20_Theorem10.lean
NumStability.Source.Higham.Chapter21.Corrections.CorrectedMGS.RoundedReplay	NumStability/Source/Higham/Chapter21/Corrections/CorrectedMGS/RoundedReplay.lean	361a2322d38918e8009a581dfe41021eb70e6000	1BFF313EE39B2E4E2076BE06711813E149EEBF38069351289950DEDE4FA371BF	NumStabilityTest/Reorganization/R05/Canonical/NumStability_Source_Higham_Chapter21_Corrections_CorrectedMGS_RoundedReplay.lean
NumStability.Source.Higham.Chapter21.Equation01.QRFoundations	NumStability/Source/Higham/Chapter21/Equation01/QRFoundations.lean	6d14144fdb2ca33aba6b44bd5d36236d7cef169f	C9EF3A7A6927E6A3C81D4C8F1BD1A9D8F6151EEA393286E9288819EBE4A4D5B6	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Equation01_QRFoundations.lean
NumStability.Source.Higham.Chapter21.Equation01.UnderdeterminedSolve	NumStability/Source/Higham/Chapter21/Equation01/UnderdeterminedSolve.lean	015ea0400d93b9902b7b8e9660286f9393058ae4	E06D5D459300EBB06300E87B0F84C22CA932CE8F6523B137FB550BAEEC645A89	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Equation01_UnderdeterminedSolve.lean
NumStability.Source.Higham.Chapter21.Equation02.UnderdeterminedSolve	NumStability/Source/Higham/Chapter21/Equation02/UnderdeterminedSolve.lean	d04b836d2fe795336f24690cdde5ea66cf55e807	57C14C96C7F8DB0F56A2CECF71A2D25263A9877AAC5168C97CBE01CE8F4CF550	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Equation02_UnderdeterminedSolve.lean
NumStability.Source.Higham.Chapter21.Equation03.QRFoundations	NumStability/Source/Higham/Chapter21/Equation03/QRFoundations.lean	6ac94e5062f87513ff6bb14d10d280a13cb6ef3e	2A2589509C11C9A7CA698BEEA3AE09CC8CAFA5341ED97DF81984F12F59104616	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Equation03_QRFoundations.lean
NumStability.Source.Higham.Chapter21.Equation03.UnderdeterminedSolve	NumStability/Source/Higham/Chapter21/Equation03/UnderdeterminedSolve.lean	ae928a19ea1350a5c4e4ac4195908a28b3decc13	D9C9E9F58448FB9C61AB99289E9F6FAC8EEC46F7BB1F1573B4165144D5841A60	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Equation03_UnderdeterminedSolve.lean
NumStability.Source.Higham.Chapter21.Equation04.QRFoundations	NumStability/Source/Higham/Chapter21/Equation04/QRFoundations.lean	b022a3131a3fc945121f315c1e9039c8840c106e	882FA828D5AEF99257EF8E4370BE94F5F05F2C1FCBFA2DA08849528DF52E3307	NumStabilityTest/Reorganization/R03/Consumer/NumStability_Source_Higham_Chapter21_Equation04_QRFoundations.lean
