path	action	rollback_unit	preimage_blob_oid	preimage_sha256	postimage_blob_oid	postimage_sha256	rationale
NumStability/Source/Higham/Chapter02/Problem09/DoubleRounding/Counterexample.lean	modify	counterexample_split	4590bda01de2f052cd7208966beb19ff7e026b5b	7339602F5B7E4F0791EE1291856EC02058F244E2CE300B82FF06E5EE4285FC9E	307498d335e64367f7c55507354d8bb2cc53197f	C8A8F1FC308090F5625ED76E74EFC72B07151078FFB4F42CAB1E225D26FDE644	convert declaration-bearing parent to import-only aggregate
NumStability/Source/Higham/Chapter02/Problem09/DoubleRounding/Counterexample/Inputs.lean	add	counterexample_split	-	-	e038e6f51db228ef0ee86856ea38ec19eba0bb3c	95754733A5414D0DC0DCC976923D8E8D3F5F43C4FE9DEA37760954D8AE01E42D	own the two unchanged input declarations
NumStability/Source/Higham/Chapter02/Problem09/DoubleRounding/Counterexample/Results.lean	modify	counterexample_split	27ac0065b39048678b2af0d023f457b63350e3b6	3BDA913F87C4111E84779C25AADC3C99B6D7E8D7E2B17976CD9B5E67F8F40BC3	082d46a4ad3bc76d37baa33ed8a3fc0b635d42d7	C253015D301D59714B89A042F08E7C58ACB9080C9B42EAA43225B70DF7CCD1DD	replace parent import with Inputs to break the cycle
NumStabilityTest.lean	modify	i01_tests	0a1561cf3d1fb30808f9d74b12388d942daa9dc1	E1057034C855FA76E77AD209134AE51F42A618A906EB3BADB5BFBD215F381359	8fd0fb86250a4f25a0741bee3e3230f10594e425	7F0E17A350B13DC45E55902B11279B7973010E45725008A4F3F8D00D622BC704	register the I01 test aggregate
NumStabilityTest/Reorganization/I01/Aggregate/NumStability_Algorithms_NormEstimation_PNorm_All.lean	add	i01_tests	-	-	a77986a538abb1fe1b08909f5d6eb925dc0ecbcb	770484ACE28CBCC1C54EBCF08FA22D701A7D3A8C3E278FA8B99637B1594423D2	isolated PNorm.All aggregate witness
NumStabilityTest/Reorganization/I01/Aggregate/NumStability_Source_Higham_Chapter02_Problem09_DoubleRounding_Counterexample.lean	add	i01_tests	-	-	af8045baa8485eeb70298017d32ccc71d4b669b5	BDB66A85793C0CC46D961580AA77997A074383D7D0F558058FAE03496E959071	parent-only entrypoint witness
NumStabilityTest/Reorganization/I01/All.lean	add	i01_tests	-	-	4812c293baaa49c0ac94c3a576b8a89d1581c329	28AF82219D7A1ECF836C3E9D2119BCE201B0714792EA98B5DEE0A1B2A5E05503	focused I01 test aggregate
NumStabilityTest/Reorganization/I01/Canonical/NumStability_Source_Higham_Chapter02_Problem09_DoubleRounding_Counterexample_Inputs.lean	add	i01_tests	-	-	85ead26a8f78c7bfab12aa958f096728d0ae1d6d	630B3FCA36AFAF90A79825F04E1EC00B4A5E0E786441A97AD889665AC59C8459	isolated Inputs-only signature witness
NumStabilityTest/Reorganization/I01/Canonical/NumStability_Source_Higham_Chapter17_Results_Series.lean	add	i01_tests	-	-	bfa14eedefece17dc55ec4162c735e127500b3c0	CEB6B00B659EA0A98F5FB9FB64D375C69D9AB02541104F8DD49F665B0920FFF2	isolated Chapter17.Results.Series witness
NumStabilityTest/Reorganization/I01/OldOnly/NumStability_Analysis_DoubleRounding.lean	add	i01_tests	-	-	bb70f3d420e5d381f631df16e1845d316d40e5ed	38EB5E44082F0CF6A1995B83DEBAC27F40EDCCB852E143A0508F030347B1E96D	isolated historical wrapper witness for both moved definitions
docs/architecture/layout-exceptions.json	modify	manifest_pair	d78c09e39364a9ebdc883194e1afbe9b480099cc	ABB2CEF4F456DB1571E3C07F11F0DBB085D075D0CFE128E766AA9967F4D04010	5bc6d56e6e1801678a55a1e69e579a174805e2cc	E23EED1B1E5619B8D9EBA7136EBAD9769C160B41FC7A3AED20B7BAC823EC5D6D	remove the resolved declaration-bearing-umbrella debt row
docs/architecture/tiers.json	modify	manifest_pair	4aa692fcd2e0af04e4feabd701c118fb6ac62ad3	3695B84D0644E447765FD5CF30FDD9FF65FBEC794276F494EC3FC2D3709C4C1E	4e910adbffe5ceb2796fef68a121494d096cc210	96D8329E018769925658FD7BC8392F8005210C83665333B333EB03EFD2B0F6F6	classify the parent aggregate and new source child exactly
