row_id	module	path	preimage_blob_oid	preimage_sha256	current_tier	decision	production_write	postimage_paths	postimage_sha256s	supported_signature_witnesses	test_modules	reviewer_id	status
I01-01	NumStability.Algorithms	NumStability/Algorithms.lean	ac3cedcf0d17c7efc39e9e912479ae781fd15f53	D297DD946420DE2B00868A1576417BC97998420A4D0506CA19C36CCD21AED010	aggregate	byte_identical_no_op	false	NumStability/Algorithms.lean	D297DD946420DE2B00868A1576417BC97998420A4D0506CA19C36CCD21AED010	byte-identical;declaration-free	NumStabilityTest.Import.Algorithms;NumStabilityTest.Reorganization.R01.Focused.RootAggregates	primary-human	awaiting_independent_review
I01-02	NumStability.Algorithms.NormEstimation.PNorm.All	NumStability/Algorithms/NormEstimation/PNorm/All.lean	82b6e3282e317bee5516995ba6423e29a17a9be9	D28918C3A5FBBA3950C34E7F661DDACE783CBCF8718F03B10E532F9BBE2634D5	aggregate	byte_identical_no_op	false	NumStability/Algorithms/NormEstimation/PNorm/All.lean	D28918C3A5FBBA3950C34E7F661DDACE783CBCF8718F03B10E532F9BBE2634D5	byte-identical;declaration-free	NumStabilityTest.Reorganization.I01.Aggregate.NumStability_Algorithms_NormEstimation_PNorm_All	primary-human	awaiting_independent_review
I01-03	NumStability.Algorithms.NormEstimation.PNorm.Rectangular.RectangularTermination	NumStability/Algorithms/NormEstimation/PNorm/Rectangular/RectangularTermination.lean	aa5a5961c0e6e39bb6b351da62f74af43e8767b2	A44599F9371D7932DCE3F4B30DE831319E758892EEBDED2F36647209D0ADED87	reusable	byte_identical_no_op	false	NumStability/Algorithms/NormEstimation/PNorm/Rectangular/RectangularTermination.lean	A44599F9371D7932DCE3F4B30DE831319E758892EEBDED2F36647209D0ADED87	byte-identical;NumStability.RectPNormPair.oneColumnValueRect;NumStability.RectPNormPair.gammaSeq_one_succ_eq_column_rect;NumStability.RectPNormPair.infRowValueRect;NumStability.RectPNormPair.zof_infinity_eq_signed_selected_row_rect;NumStability.RectPNormPair.qIn_zof_infinity_eq_row_rect	NumStabilityTest.Reorganization.W10.Canonical.AlgorithmsNormEstimationPNormRectangularRectangularTermination	primary-human	awaiting_independent_review
I01-04	NumStability.Algorithms.StationaryIterationSeries	NumStability/Algorithms/StationaryIterationSeries.lean	30ff4d1641ec1544448ee7c047c63e4c90a160fa	E437A3F78641D08EB418BFD54786CD1C1A54A3E87F2C4A1360FB2B4588AA1346	compatibility	retain_wrapper_byte_identical_no_op	false	NumStability/Algorithms/StationaryIterationSeries.lean	E437A3F78641D08EB418BFD54786CD1C1A54A3E87F2C4A1360FB2B4588AA1346	byte-identical;declaration-free	NumStabilityTest.Reorganization.R01.Focused.StationaryIterationSeries;NumStabilityTest.Import.Compatibility.Source.Chapter17.AlgorithmsStationaryIterationSeries	primary-human	awaiting_independent_review
I01-05	NumStability.Analysis	NumStability/Analysis.lean	2165e088fe39fbaf02b95d250f324465ade2db4a	10ECEB249EEA0CDC9B5A0E6495E7F04FF6334854FAD915FD55672BF219D07FAC	aggregate	byte_identical_no_op	false	NumStability/Analysis.lean	10ECEB249EEA0CDC9B5A0E6495E7F04FF6334854FAD915FD55672BF219D07FAC	byte-identical;declaration-free	NumStabilityTest.Import.Analysis;NumStabilityTest.Reorganization.R01.Focused.RootAggregates	primary-human	awaiting_independent_review
I01-06	NumStability.Source.Higham.Chapter02.Problem09.DoubleRounding.Counterexample	NumStability/Source/Higham/Chapter02/Problem09/DoubleRounding/Counterexample.lean	4590bda01de2f052cd7208966beb19ff7e026b5b	7339602F5B7E4F0791EE1291856EC02058F244E2CE300B82FF06E5EE4285FC9E	source	indivisible_three_path_split	true	NumStability/Source/Higham/Chapter02/Problem09/DoubleRounding/Counterexample.lean;NumStability/Source/Higham/Chapter02/Problem09/DoubleRounding/Counterexample/Inputs.lean;NumStability/Source/Higham/Chapter02/Problem09/DoubleRounding/Counterexample/Results.lean	C8A8F1FC308090F5625ED76E74EFC72B07151078FFB4F42CAB1E225D26FDE644;95754733A5414D0DC0DCC976923D8E8D3F5F43C4FE9DEA37760954D8AE01E42D;C253015D301D59714B89A042F08E7C58ACB9080C9B42EAA43225B70DF7CCD1DD	NumStability.FloatingPointFormat.binary64MantissaExtendedLocalFormat:NumStability.FloatingPointFormat;NumStability.FloatingPointFormat.problem2_9Source:Real	NumStabilityTest.Reorganization.I01.Canonical.NumStability_Source_Higham_Chapter02_Problem09_DoubleRounding_Counterexample_Inputs;NumStabilityTest.Reorganization.I01.Aggregate.NumStability_Source_Higham_Chapter02_Problem09_DoubleRounding_Counterexample;NumStabilityTest.Reorganization.R03.Canonical.NumStability_Source_Higham_Chapter02_Problem09_DoubleRounding_Counterexample_Results;NumStabilityTest.Reorganization.I01.OldOnly.NumStability_Analysis_DoubleRounding	primary-human	awaiting_independent_review
I01-07	NumStability.Source.Higham.Chapter15	NumStability/Source/Higham/Chapter15.lean	ad97f994d3e2270a78fe52137f16bc934e9c046d	23764C15F48D921E4D2E5BA77C146B066049DE99BF965ED9F504397973094815	aggregate	byte_identical_no_op	false	NumStability/Source/Higham/Chapter15.lean	23764C15F48D921E4D2E5BA77C146B066049DE99BF965ED9F504397973094815	byte-identical;declaration-free	NumStabilityTest.Reorganization.R02.Consumer.SourceHighamChapter15	primary-human	awaiting_independent_review
I01-08	NumStability.Source.Higham.Chapter15.Lemma02.PNormPowerMethod.PNormRectangular	NumStability/Source/Higham/Chapter15/Lemma02/PNormPowerMethod/PNormRectangular.lean	e09f634c1b5c83e600a7c9406b88d003ab72bfa9	B3A6F5833A753DA08779FAB8912CA335092B96332951BDECE82E32EDD1C2DB02	source	byte_identical_no_op	false	NumStability/Source/Higham/Chapter15/Lemma02/PNormPowerMethod/PNormRectangular.lean	B3A6F5833A753DA08779FAB8912CA335092B96332951BDECE82E32EDD1C2DB02	byte-identical;NumStability.RectPNormPair.higham15_lemma15_2a_rectangular;NumStability.RectPNormPair.higham15_lemma15_2b_rectangular;NumStability.RectPNormPair.higham15_lemma15_2_rectangular;NumStability.RectPNormPair.higham15_lemma15_2_rectangular_strict;NumStability.RectPNormPair.gammaSeq_mono;NumStability.RectPNormPair.higham15_lemma15_2_rectangular_one;NumStability.RectPNormPair.higham15_lemma15_2_rectangular_infinity	NumStabilityTest.Reorganization.W10.Canonical.SourceHighamChapter15Lemma02PNormPowerMethodPNormRectangular	primary-human	awaiting_independent_review
I01-09	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.ConvergenceStatements	NumStability/Source/Higham/Chapter15/Section02/Boyd/EndpointTermination/ConvergenceStatements.lean	ae0f77f4668fd4b2d8c5e8c58518da96691b07cc	992550C29CE832AF7C922DD4A09C67AF6BDEDB3C9DDCCFB09A717F7657D03DE2	source	byte_identical_no_op	false	NumStability/Source/Higham/Chapter15/Section02/Boyd/EndpointTermination/ConvergenceStatements.lean	992550C29CE832AF7C922DD4A09C67AF6BDEDB3C9DDCCFB09A717F7657D03DE2	byte-identical;NumStability.Ch15.pNormPair_one_terminates_by_n_plus_one;NumStability.Ch15.pNormPair_inf_terminates_by_n_plus_one	NumStabilityTest.Reorganization.W10.Canonical.SourceHighamChapter15Section02BoydEndpointTerminationConvergenceStatements	primary-human	awaiting_independent_review
I01-10	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.RectangularTermination	NumStability/Source/Higham/Chapter15/Section02/Boyd/EndpointTermination/RectangularTermination.lean	850c0d8754bb81ecd0a5fd19cfed864de7652a4a	040EA7580F2F27BE3E4324759C723F27530E32E0C2AFBC2A5A7EE196670E5E1F	source	byte_identical_no_op	false	NumStability/Source/Higham/Chapter15/Section02/Boyd/EndpointTermination/RectangularTermination.lean	040EA7580F2F27BE3E4324759C723F27530E32E0C2AFBC2A5A7EE196670E5E1F	byte-identical;NumStability.RectPNormPair.one_terminates_by_n_plus_one_rect;NumStability.RectPNormPair.infinity_terminates_by_m_plus_one_rect;NumStability.RectPNormPair.infinityNPlusOneCounterexampleA;NumStability.RectPNormPair.infinityNPlusOneCounterexampleX0;NumStability.RectPNormPair.infinityNPlusOneCounterexample_unit	NumStabilityTest.Reorganization.W10.Canonical.SourceHighamChapter15Section02BoydEndpointTerminationRectangularTermination	primary-human	awaiting_independent_review
