module	path	base_blob_oid	current_tier	debt_flags	phase_scope	lane_id	wave_id	planned_actions	rationale
NumStability	NumStability.lean	704da6db617ae1a3c53dc4d96d18dbb6145de905	aggregate	-	already_complete	-	-	-	-
NumStability.Algorithms	NumStability/Algorithms.lean	5f05fddaeb52e8ffd83bcb29f94ab3f81b0e44f0	aggregate	-	already_complete	-	-	-	-
NumStability.Algorithms.AccumulatorSum	NumStability/Algorithms/AccumulatorSum.lean	99951bd3d6865f110ea529c77203767e1bfdefc9	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.AitkenDenominator	NumStability/Algorithms/AitkenDenominator.lean	191c102743cc9843cb2eeab24e7e13fa33ce35fa	reusable	-	in_scope	remote-lane	W02	classify	Exact unclassified inventory; dependency wave W02.
NumStability.Algorithms.Arithmetic.DotProduct.NoGuard	NumStability/Algorithms/Arithmetic/DotProduct/NoGuard.lean	6e50ad2f873fddd0db28570f9a770e071e7068fc	aggregate	-	already_complete	-	-	-	-
NumStability.Algorithms.Arithmetic.DotProduct.NoGuard.Core	NumStability/Algorithms/Arithmetic/DotProduct/NoGuard/Core.lean	805b6a5b6af99e83cc10e0573314b4bbdd15ef9e	reusable	-	already_complete	-	-	-	-
NumStability.Algorithms.Arithmetic.DotProduct.NoGuard.Tree	NumStability/Algorithms/Arithmetic/DotProduct/NoGuard/Tree.lean	83698ceca90b2c7c4388ded3b9da6164f08f201d	reusable	-	already_complete	-	-	-	-
NumStability.Algorithms.AutomaticErrorAnalysis.Higham26	NumStability/Algorithms/AutomaticErrorAnalysis/Higham26.lean	da10623bdad7974a514a1a858139eabd95f4a834	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.AutomaticErrorAnalysis.Higham26SourceSearch	NumStability/Algorithms/AutomaticErrorAnalysis/Higham26SourceSearch.lean	9a23b99d441c8864a612952722c725c9814e7b2b	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.BlockDotProduct	NumStability/Algorithms/BlockDotProduct.lean	c7b907b0287238af45afb1ef274b48b923427adc	reusable	-	in_scope	remote-lane	W02	classify	Exact unclassified inventory; dependency wave W02.
NumStability.Algorithms.Ch10ActualSourceClosure	NumStability/Algorithms/Ch10ActualSourceClosure.lean	358f2abc58440388eaf7262dada754f6616e498a	unclassified	noncanonical_modules;unclassified_modules	in_scope	local-lane	W03	classify;migrate;rename	Exact unclassified inventory; dependency wave W03.
NumStability.Algorithms.Ch10Ch14Lemma66Op2Bridge	NumStability/Algorithms/Ch10Ch14Lemma66Op2Bridge.lean	365c8954f2a531c28bdcbab13cba2156dbb6b2c8	unclassified	noncanonical_modules;unclassified_modules	in_scope	local-lane	W03	classify;migrate;rename	Exact unclassified inventory; dependency wave W03.
NumStability.Algorithms.Ch10ComplexPositiveDefiniteSourceClosure	NumStability/Algorithms/Ch10ComplexPositiveDefiniteSourceClosure.lean	4a76cd8895bf2106a09b4c79d2a7210a3e043822	unclassified	noncanonical_modules;unclassified_modules	in_scope	local-lane	W03	classify;migrate;rename	Exact unclassified inventory; dependency wave W03.
NumStability.Algorithms.Ch10KahanSharpness	NumStability/Algorithms/Ch10KahanSharpness.lean	f0908190068b166f88d3015e616d9fd41a6e2e65	unclassified	noncanonical_modules;unclassified_modules	in_scope	local-lane	W03	classify;migrate;rename	Exact unclassified inventory; dependency wave W03.
NumStability.Algorithms.Ch10KahanSharpnessSource	NumStability/Algorithms/Ch10KahanSharpnessSource.lean	d4056b949f5b626c56972e35b77972f25ce9b528	unclassified	noncanonical_modules;unclassified_modules	in_scope	local-lane	W03	classify;migrate;rename	Exact unclassified inventory; dependency wave W03.
NumStability.Algorithms.Ch10Lemma1011Source	NumStability/Algorithms/Ch10Lemma1011Source.lean	c25f4ff250698797509fb660786719b49c707ff7	unclassified	noncanonical_modules;unclassified_modules	in_scope	local-lane	W03	classify;migrate;rename	Exact unclassified inventory; dependency wave W03.
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability/Algorithms/Ch10PivotedPSDSourceClosure.lean	04c754468dd7812253fce73c4ccbb9b1fbe713a3	unclassified	noncanonical_modules;unclassified_modules	in_scope	local-lane	W03	classify;migrate;rename	Exact unclassified inventory; dependency wave W03.
NumStability.Algorithms.Ch10Theorem107FailureVacuity	NumStability/Algorithms/Ch10Theorem107FailureVacuity.lean	354b38120268e4454c3da46fdd81048a23726eea	unclassified	missing_module_docstrings;noncanonical_modules;unclassified_modules	in_scope	local-lane	W03	classify;document;migrate;rename	Exact unclassified inventory; dependency wave W03.
