module	path	wave_id	lane_id	inventory_source	frozen_proposed_tier	frozen_proposed_family	review_status
NumStability.Algorithms.AitkenDenominator	NumStability/Algorithms/AitkenDenominator.lean	W02	remote-lane	frozen-proposal	reusable	NumStability.Algorithms.AitkenDenominator	frozen_proposal_requires_refresh
NumStability.Algorithms.BlockDotProduct	NumStability/Algorithms/BlockDotProduct.lean	W02	remote-lane	frozen-proposal	reusable	NumStability.Algorithms.BlockDotProduct	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch10ActualSourceClosure	NumStability/Algorithms/Ch10ActualSourceClosure.lean	W03	local-lane	frozen-proposal	source	NumStability.Source.Higham.Chapter10	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch10Ch14Lemma66Op2Bridge	NumStability/Algorithms/Ch10Ch14Lemma66Op2Bridge.lean	W03	local-lane	frozen-proposal	source	NumStability.Source.Higham.Chapter10	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch10ComplexPositiveDefiniteSourceClosure	NumStability/Algorithms/Ch10ComplexPositiveDefiniteSourceClosure.lean	W03	local-lane	frozen-proposal	source	NumStability.Source.Higham.Chapter10	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch10KahanSharpness	NumStability/Algorithms/Ch10KahanSharpness.lean	W03	local-lane	frozen-proposal	source	NumStability.Source.Higham.Chapter10	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch10KahanSharpnessSource	NumStability/Algorithms/Ch10KahanSharpnessSource.lean	W03	local-lane	frozen-proposal	source	NumStability.Source.Higham.Chapter10	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch10Lemma1011Source	NumStability/Algorithms/Ch10Lemma1011Source.lean	W03	local-lane	frozen-proposal	source	NumStability.Source.Higham.Chapter10	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability/Algorithms/Ch10PivotedPSDSourceClosure.lean	W03	local-lane	frozen-proposal	source	NumStability.Source.Higham.Chapter10	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch10Theorem107FailureVacuity	NumStability/Algorithms/Ch10Theorem107FailureVacuity.lean	W03	local-lane	frozen-proposal	source	NumStability.Source.Higham.Chapter10	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch10Theorem108Componentwise	NumStability/Algorithms/Ch10Theorem108Componentwise.lean	W03	local-lane	frozen-proposal	source	NumStability.Source.Higham.Chapter10	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch10Theorem108Source	NumStability/Algorithms/Ch10Theorem108Source.lean	W03	local-lane	frozen-proposal	source	NumStability.Source.Higham.Chapter10	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14AsymptoticFamilies	NumStability/Algorithms/Ch14AsymptoticFamilies.lean	W08	remote-lane	frozen-proposal	mixed_pending_split	NumStability.Algorithms.MatrixInversion + NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14BlockTriInverse	NumStability/Algorithms/Ch14BlockTriInverse.lean	W08	remote-lane	frozen-proposal	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14Cor146UniformInverseBridge	NumStability/Algorithms/Ch14Cor146UniformInverseBridge.lean	W08	remote-lane	frozen-proposal	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14Cor147FinalDivisionFamilyClosure	NumStability/Algorithms/Ch14Cor147FinalDivisionFamilyClosure.lean	W08	remote-lane	frozen-proposal	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14Cor147SourceDomainConstructor	NumStability/Algorithms/Ch14Cor147SourceDomainConstructor.lean	W08	remote-lane	frozen-proposal	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14Corollary146Closure	NumStability/Algorithms/Ch14Corollary146Closure.lean	W08	remote-lane	frozen-proposal	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14Corollary146Concrete	NumStability/Algorithms/Ch14Corollary146Concrete.lean	W08	remote-lane	frozen-proposal	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14Corollary146SourceClosure	NumStability/Algorithms/Ch14Corollary146SourceClosure.lean	W08	remote-lane	frozen-proposal	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14Corollary147	NumStability/Algorithms/Ch14Corollary147.lean	W08	remote-lane	frozen-proposal	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14Corollary147Closure	NumStability/Algorithms/Ch14Corollary147Closure.lean	W08	remote-lane	frozen-proposal	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14Corollary147Concrete	NumStability/Algorithms/Ch14Corollary147Concrete.lean	W08	remote-lane	frozen-proposal	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14Corollary147SourceClosure	NumStability/Algorithms/Ch14Corollary147SourceClosure.lean	W08	remote-lane	frozen-proposal	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14Corollary147WeakFamily	NumStability/Algorithms/Ch14Corollary147WeakFamily.lean	W08	remote-lane	frozen-proposal	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14ForwardErrorEndpoint	NumStability/Algorithms/Ch14ForwardErrorEndpoint.lean	W08	remote-lane	frozen-proposal	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14GJEActualDoolittleAdapter	NumStability/Algorithms/Ch14GJEActualDoolittleAdapter.lean	W08	remote-lane	frozen-proposal	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14GJEAsymptoticFamilies	NumStability/Algorithms/Ch14GJEAsymptoticFamilies.lean	W08	remote-lane	frozen-proposal	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14GJEFinalDivisionClosure	NumStability/Algorithms/Ch14GJEFinalDivisionClosure.lean	W08	remote-lane	frozen-proposal	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14GJEOperationalBridge	NumStability/Algorithms/Ch14GJEOperationalBridge.lean	W08	remote-lane	frozen-proposal	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
