task_id,source_cluster,retained,difficulty,N_formalization_seconds_inclusive,N_proof_seconds_inclusive,N_total_seconds_inclusive,N_formalization_tokens_net_new,N_proof_tokens_net_new,N_total_tokens_net_new,N_statement_code_lines,N_proof_code_lines,N_formalization_submissions,N_proof_submissions,L_formalization_seconds_inclusive,L_proof_seconds_inclusive,L_total_seconds_inclusive,L_formalization_tokens_net_new,L_proof_tokens_net_new,L_total_tokens_net_new,L_statement_code_lines,L_proof_code_lines,L_formalization_submissions,L_proof_submissions
CAST08-FIXED3,CAST08,True,ordinary,122.56326204199861,480.87860932,603.4418713619987,36546,74039,110585,44,325,1,1,112.06318432100252,274.564897354,386.6280816750025,99384,146912,246296,39,221,1,1
P14-T1,P14,False,ordinary,175.93603656700262,428.217748746,604.1537853130026,31039,56019,87058,27,201,1,1,171.32228689600183,282.120875537,453.4431624330018,95328,33398,128726,29,227,1,1
HI21-LEM2.2,HI21,False,hard,105.81307850800087,29.157162239,134.97024074700087,32757,6985,39742,26,39,1,1,161.4481168700017,37.110537303,198.5586541730017,107614,4679,112293,36,49,1,1
CAST08-PROP3.1,CAST08,True,hard,169.51415944499837,646.430277844,815.9444372889984,42538,76137,118675,40,373,1,1,179.85854628799788,346.731263446,526.5898097339979,109601,48981,158582,39,200,1,1
P14-T2,P14,False,ordinary,135.35061320699842,590.051567708,725.4021809149984,41266,110226,151492,35,364,1,1,134.61280172000005,484.617271595,619.230073315,96971,60950,157921,37,345,1,1
RUMP12-THM3.4,RUMP12,True,ordinary,155.70809031199724,1087.165395598,1242.8734859099973,40745,186146,226891,31,599,1,1,229.79200197000068,751.850634538,981.6426365080007,122598,104105,226703,27,333,1,1
P14-LOGSUMEXP,P14,False,ordinary,129.8787438599991,428.183409579,558.0621534389991,50385,71575,121960,28,204,1,1,92.87245980099834,406.612484505,499.48494430599834,98266,45815,144081,27,257,1,1
H20-8,H20,True,ordinary,91.23431682099819,611.992448825,703.2267656459982,42177,92064,134241,25,243,1,1,102.0938512010043,210.566115263,312.6599664640043,41588,40148,81736,20,167,1,1
P14-ALT-SOFTMAX,P14,False,ordinary,139.52898682500208,686.033815206,825.5628020310021,22738,82908,105646,36,383,1,1,111.54662197799793,725.401394008,836.9480159859979,17872,92083,109955,43,443,1,1
CAST08-PROP3.2,CAST08,True,hard,154.81638735399508,464.388803855,619.2051912089951,30873,64150,95023,37,329,1,1,123.55741262700249,299.82310763,423.38052025700244,106956,144117,251073,36,245,1,1
P14-SHIFTED-SUM,P14,False,ordinary,142.4516341980058,708.320392351,850.7720265490058,37136,88806,125942,36,349,1,1,140.64957039200286,375.627938631,516.2775090230028,15675,45668,61343,36,313,1,1
P14-SHIFTED-LOG,P14,False,ordinary,117.08414330499951,659.788530872,776.8726741769996,45135,85012,130147,38,451,1,1,214.53964154899785,667.521863774,882.0615053229978,27034,83875,110909,50,425,1,1
P14-SHIFTED-SOFTMAX,P14,False,hard,148.32402584799752,823.324261601,971.6482874489975,51422,136230,187652,40,481,1,1,182.55330743899836,825.992779925,1008.5460873639984,102427,105794,208221,47,493,1,1
P14-SHIFTED-WEIGHTED,P14,False,ordinary,128.85041768899998,457.67924038,586.529658069,16218,93634,109852,33,290,1,1,184.34655502600475,592.921138389,777.2676934150047,19277,72079,91356,43,379,1,1
HI21-EQ2.7,HI21,False,ordinary,127.59859368399489,368.61077641,496.20937009399495,21166,36810,57976,38,282,1,1,257.24235143199684,297.930215217,555.1725666489968,120245,33522,153767,43,316,2,1
